SCAL,NGEN,NBPS,REPL,MTHD,QS,NQS
0.5X,1000,500,R10,astral_3_v5.7.7,110808793,0.5694767858978312
0.5X,1000,500,R11,astral_3_v5.7.7,110713365,0.568986355226642
0.5X,1000,500,R12,astral_3_v5.7.7,110262809,0.5666708243396033
0.5X,1000,500,R13,astral_3_v5.7.7,110421115,0.5674844023023949
0.5X,1000,500,R14,astral_3_v5.7.7,110520524,0.5679952924247096
0.5X,1000,500,R15,astral_3_v5.7.7,110501678,0.5678984376606023
0.5X,1000,500,R16,astral_3_v5.7.7,110215148,0.5664258813855484
0.5X,1000,500,R17,astral_3_v5.7.7,110994672,0.5704320690718471
0.5X,1000,500,R18,astral_3_v5.7.7,111403692,0.5725341350601295
0.5X,1000,500,R19,astral_3_v5.7.7,110808979,0.5694777418028575
0.5X,1000,500,R1,astral_3_v5.7.7,111192495,0.5714487357385137
0.5X,1000,500,R20,astral_3_v5.7.7,110329240,0.567012231472916
0.5X,1000,500,R2,astral_3_v5.7.7,110272315,0.5667196782814267
0.5X,1000,500,R3,astral_3_v5.7.7,111066105,0.5707991828553808
0.5X,1000,500,R4,astral_3_v5.7.7,110225590,0.5664795456881488
0.5X,1000,500,R5,astral_3_v5.7.7,110766947,0.5692617278240313
0.5X,1000,500,R6,astral_3_v5.7.7,110405711,0.5674052369205468
0.5X,1000,500,R7,astral_3_v5.7.7,109800758,0.5642962174940899
0.5X,1000,500,R8,astral_3_v5.7.7,110917972,0.5700378867303937
0.5X,1000,500,R9,astral_3_v5.7.7,110035063,0.5655003751670264
0.5X,1000,true,R10,astral_3_v5.7.7,120216663,0.6178264107308048
0.5X,1000,true,R11,astral_3_v5.7.7,119657892,0.6149547332716621
0.5X,1000,true,R12,astral_3_v5.7.7,119508675,0.6141878661732963
0.5X,1000,true,R13,astral_3_v5.7.7,119247521,0.6128457241237537
0.5X,1000,true,R14,astral_3_v5.7.7,119652008,0.6149244937814781
0.5X,1000,true,R15,astral_3_v5.7.7,119332027,0.6132800236406619
