SCAL,NGEN,NBPS,REPL,MTHD,NODE,real,user,sys
0.5X,1000,500,R10,astral_3_v5.7.7,heron05,4m2.959s,4m27.773s,0m4.112s
0.5X,1000,500,R11,astral_3_v5.7.7,heron09,4m14.222s,4m37.326s,0m3.870s
0.5X,1000,500,R12,astral_3_v5.7.7,heron07,4m14.536s,4m37.592s,0m4.594s
0.5X,1000,500,R13,astral_3_v5.7.7,heron04,4m13.279s,4m34.008s,0m4.273s
0.5X,1000,500,R14,astral_3_v5.7.7,heron10,4m9.040s,4m29.565s,0m4.241s
0.5X,1000,500,R15,astral_3_v5.7.7,heron08,4m6.201s,4m31.137s,0m3.818s
0.5X,1000,500,R16,astral_3_v5.7.7,heron11,4m5.724s,4m29.368s,0m4.039s
0.5X,1000,500,R17,astral_3_v5.7.7,heron02,4m8.696s,4m29.061s,0m4.491s
0.5X,1000,500,R18,astral_3_v5.7.7,heron06,4m6.183s,4m25.937s,0m4.044s
0.5X,1000,500,R19,astral_3_v5.7.7,heron03,4m7.582s,4m29.124s,0m3.610s
0.5X,1000,500,R1,astral_3_v5.7.7,heron08,4m13.548s,4m35.798s,0m3.922s
0.5X,1000,500,R20,astral_3_v5.7.7,heron01,4m2.913s,4m25.921s,0m5.029s
0.5X,1000,500,R2,astral_3_v5.7.7,heron07,4m0.567s,4m24.388s,0m4.463s
0.5X,1000,500,R3,astral_3_v5.7.7,heron10,4m9.297s,4m32.172s,0m4.336s
0.5X,1000,500,R4,astral_3_v5.7.7,heron00,7m46.575s,8m18.565s,0m5.694s
0.5X,1000,500,R5,astral_3_v5.7.7,heron02,4m5.790s,4m29.117s,0m4.144s
0.5X,1000,500,R6,astral_3_v5.7.7,heron03,4m9.417s,4m28.489s,0m4.796s
0.5X,1000,500,R7,astral_3_v5.7.7,heron11,3m56.202s,4m20.441s,0m3.705s
0.5X,1000,500,R8,astral_3_v5.7.7,heron01,4m15.577s,4m42.741s,0m4.252s
0.5X,1000,500,R9,astral_3_v5.7.7,heron06,4m9.701s,4m35.094s,0m4.244s
0.5X,1000,true,R10,astral_3_v5.7.7,heron09,3m3.394s,3m21.662s,0m3.669s
0.5X,1000,true,R11,astral_3_v5.7.7,heron10,2m55.928s,3m14.458s,0m2.716s
0.5X,1000,true,R12,astral_3_v5.7.7,heron11,2m58.010s,3m17.034s,0m3.034s
0.5X,1000,true,R13,astral_3_v5.7.7,heron01,2m59.774s,3m18.733s,0m3.107s
0.5X,1000,true,R14,astral_3_v5.7.7,heron11,3m9.533s,3m29.212s,0m3.054s
0.5X,1000,true,R15,astral_3_v5.7.7,heron02,3m11.107s,3m33.384s,0m3.895s
0.5X,1000,true,R16,astral_3_v5.7.7,heron03,2m58.859s,3m18.299s,0m3.251s
0.5X,1000,true,R17,astral_3_v5.7.7,heron09,2m53.358s,3m11.928s,0m3.584s
0.5X,1000,true,R18,astral_3_v5.7.7,heron05,2m53.932s,3m12.362s,0m3.167s
