SCAL,NGEN,NBPS,REPL,MTHD,NODE,real,user,sys
noscale,100g,500b,R10,quartets,heron01,0m25.057s,0m52.045s,0m30.771s
noscale,100g,500b,R11,quartets,heron09,0m26.723s,0m53.961s,0m31.848s
noscale,100g,500b,R12,quartets,heron10,0m25.075s,0m52.232s,0m30.651s
noscale,100g,500b,R13,quartets,heron04,0m26.288s,0m53.938s,0m32.155s
noscale,100g,500b,R14,quartets,heron03,0m25.504s,0m54.396s,0m31.091s
noscale,100g,500b,R15,quartets,heron08,0m23.935s,0m53.431s,0m28.876s
noscale,100g,500b,R16,quartets,heron02,0m25.769s,0m53.810s,0m30.695s
noscale,100g,500b,R17,quartets,heron11,0m24.630s,0m53.207s,0m29.709s
noscale,100g,500b,R18,quartets,heron05,0m24.048s,0m55.072s,0m28.706s
noscale,100g,500b,R19,quartets,heron06,0m25.206s,0m52.452s,0m30.897s
noscale,100g,500b,R1,quartets,heron04,0m26.700s,0m54.335s,0m32.525s
noscale,100g,500b,R20,quartets,heron07,0m26.083s,0m53.342s,0m32.256s
noscale,100g,500b,R2,quartets,heron03,0m26.250s,0m54.419s,0m31.819s
noscale,100g,500b,R3,quartets,heron00,0m48.672s,1m41.104s,0m56.438s
noscale,100g,500b,R4,quartets,heron08,0m23.459s,0m53.600s,0m27.535s
noscale,100g,500b,R5,quartets,heron02,0m26.237s,0m53.560s,0m31.180s
noscale,100g,500b,R6,quartets,heron11,0m24.894s,0m52.815s,0m30.535s
noscale,100g,500b,R7,quartets,heron05,0m24.577s,0m53.102s,0m29.897s
noscale,100g,500b,R8,quartets,heron06,0m23.855s,0m52.654s,0m28.297s
noscale,100g,500b,R9,quartets,heron07,0m26.323s,0m54.100s,0m32.312s
noscale,200g,1000b,R10,quartets,heron10,0m48.597s,1m45.165s,0m58.181s
noscale,200g,1000b,R11,quartets,heron04,0m49.105s,1m53.370s,0m57.430s
noscale,200g,1000b,R12,quartets,heron03,0m51.054s,1m46.365s,1m1.669s
noscale,200g,1000b,R13,quartets,heron05,0m46.881s,1m51.916s,0m55.327s
noscale,200g,1000b,R14,quartets,heron08,0m47.584s,1m49.315s,0m55.294s
noscale,200g,1000b,R15,quartets,heron11,0m48.243s,1m49.390s,0m56.626s
noscale,200g,1000b,R16,quartets,heron02,0m49.101s,1m50.889s,0m57.926s
noscale,200g,1000b,R17,quartets,heron06,0m49.010s,1m44.356s,0m59.087s
noscale,200g,1000b,R18,quartets,heron01,0m48.246s,1m52.056s,0m57.874s
noscale,200g,1000b,R19,quartets,heron07,0m50.154s,1m47.348s,1m0.133s
noscale,200g,1000b,R1,quartets,heron05,0m46.995s,1m49.110s,0m55.250s
noscale,200g,1000b,R20,quartets,heron09,0m50.713s,1m47.739s,1m0.839s
noscale,200g,1000b,R2,quartets,heron08,0m47.818s,1m46.772s,0m56.511s
noscale,200g,1000b,R3,quartets,heron11,0m47.542s,1m47.049s,0m55.712s
noscale,200g,1000b,R4,quartets,heron02,0m50.050s,1m47.611s,0m59.133s
noscale,200g,1000b,R5,quartets,heron07,0m49.709s,1m44.047s,0m59.592s
noscale,200g,1000b,R6,quartets,heron06,0m47.990s,1m44.921s,0m56.258s
noscale,200g,1000b,R7,quartets,heron01,0m50.858s,1m45.955s,1m1.799s
noscale,200g,1000b,R8,quartets,heron09,0m50.786s,1m49.722s,1m1.335s
noscale,200g,1000b,R9,quartets,heron00,1m32.519s,3m30.550s,1m47.227s
noscale,200g,1500b,R10,quartets,heron06,0m47.171s,1m47.849s,0m55.684s
noscale,200g,1500b,R11,quartets,heron07,0m51.633s,1m48.469s,1m3.051s
noscale,200g,1500b,R12,quartets,heron09,0m49.606s,1m46.324s,0m59.019s
noscale,200g,1500b,R13,quartets,heron10,0m48.780s,1m49.732s,0m58.286s
noscale,200g,1500b,R14,quartets,heron04,0m50.594s,1m48.709s,1m0.257s
noscale,200g,1500b,R15,quartets,heron03,0m50.335s,1m51.773s,1m0.030s
noscale,200g,1500b,R16,quartets,heron08,0m46.771s,1m49.216s,0m54.541s
noscale,200g,1500b,R17,quartets,heron05,0m48.056s,1m47.354s,0m57.400s
noscale,200g,1500b,R18,quartets,heron02,0m49.834s,1m46.325s,0m58.857s
noscale,200g,1500b,R19,quartets,heron11,0m48.978s,1m45.488s,0m58.195s
noscale,200g,1500b,R1,quartets,heron10,0m46.239s,1m44.876s,0m55.708s
noscale,200g,1500b,R20,quartets,heron06,0m48.391s,1m43.266s,0m57.742s
noscale,200g,1500b,R2,quartets,heron04,0m50.524s,1m52.948s,1m0.274s
noscale,200g,1500b,R3,quartets,heron03,0m49.827s,1m49.013s,0m59.678s
noscale,200g,1500b,R4,quartets,heron00,1m31.266s,3m19.931s,1m45.088s
noscale,200g,1500b,R5,quartets,heron08,0m46.588s,1m46.537s,0m54.654s
noscale,200g,1500b,R6,quartets,heron05,0m46.521s,1m46.046s,0m54.777s
noscale,200g,1500b,R7,quartets,heron11,0m48.766s,1m45.223s,0m57.772s
noscale,200g,1500b,R8,quartets,heron02,0m49.752s,1m45.975s,0m58.813s
noscale,200g,1500b,R9,quartets,heron01,0m48.641s,1m47.167s,0m59.121s
noscale,200g,250b,R10,quartets,heron00,1m27.364s,3m11.329s,1m41.093s
noscale,200g,250b,R11,quartets,heron10,0m49.941s,1m42.979s,1m0.184s
noscale,200g,250b,R12,quartets,heron04,0m52.557s,1m48.661s,1m2.784s
noscale,200g,250b,R13,quartets,heron05,0m46.562s,1m47.466s,0m54.120s
noscale,200g,250b,R14,quartets,heron03,0m50.030s,1m48.657s,1m0.593s
noscale,200g,250b,R15,quartets,heron11,0m47.693s,1m46.582s,0m56.523s
noscale,200g,250b,R16,quartets,heron02,0m48.962s,1m47.353s,0m57.498s
noscale,200g,250b,R17,quartets,heron06,0m50.032s,1m43.765s,0m59.623s
noscale,200g,250b,R18,quartets,heron08,0m49.526s,1m46.874s,0m58.310s
noscale,200g,250b,R19,quartets,heron07,0m52.069s,1m47.509s,1m3.145s
noscale,200g,250b,R1,quartets,heron03,0m50.637s,1m48.840s,1m0.268s
noscale,200g,250b,R20,quartets,heron01,0m48.901s,1m47.592s,0m58.651s
noscale,200g,250b,R2,quartets,heron02,0m48.110s,1m45.099s,0m56.221s
noscale,200g,250b,R3,quartets,heron05,0m48.597s,1m46.175s,0m57.221s
