SCAL,NGEN,NBPS,REPL,MTHD,NL,I1,I2,FN,FP,RF
noscale,100g,500b,R10,astral_3_v5.7.7,37,34,34,1,1,0.029412
noscale,100g,500b,R11,astral_3_v5.7.7,37,34,34,2,2,0.058824
noscale,100g,500b,R12,astral_3_v5.7.7,37,34,34,2,2,0.058824
noscale,100g,500b,R13,astral_3_v5.7.7,37,34,34,4,4,0.117647
noscale,100g,500b,R14,astral_3_v5.7.7,37,34,34,4,4,0.117647
noscale,100g,500b,R15,astral_3_v5.7.7,37,34,34,2,2,0.058824
noscale,100g,500b,R16,astral_3_v5.7.7,37,34,34,3,3,0.088235
noscale,100g,500b,R17,astral_3_v5.7.7,37,34,34,3,3,0.088235
noscale,100g,500b,R18,astral_3_v5.7.7,37,34,34,0,0,0.000000
noscale,100g,500b,R19,astral_3_v5.7.7,37,34,34,1,1,0.029412
noscale,100g,500b,R1,astral_3_v5.7.7,37,34,34,2,2,0.058824
noscale,100g,500b,R20,astral_3_v5.7.7,37,34,34,4,4,0.117647
noscale,100g,500b,R2,astral_3_v5.7.7,37,34,34,2,2,0.058824
noscale,100g,500b,R3,astral_3_v5.7.7,37,34,34,2,2,0.058824
noscale,100g,500b,R4,astral_3_v5.7.7,37,34,34,1,1,0.029412
noscale,100g,500b,R5,astral_3_v5.7.7,37,34,34,2,2,0.058824
noscale,100g,500b,R6,astral_3_v5.7.7,37,34,34,3,3,0.088235
noscale,100g,500b,R7,astral_3_v5.7.7,37,34,34,4,4,0.117647
noscale,100g,500b,R8,astral_3_v5.7.7,37,34,34,2,2,0.058824
noscale,100g,500b,R9,astral_3_v5.7.7,37,34,34,4,4,0.117647
noscale,200g,1000b,R10,astral_3_v5.7.7,37,34,34,1,1,0.029412
noscale,200g,1000b,R11,astral_3_v5.7.7,37,34,34,0,0,0.000000
noscale,200g,1000b,R12,astral_3_v5.7.7,37,34,34,1,1,0.029412
noscale,200g,1000b,R13,astral_3_v5.7.7,37,34,34,2,2,0.058824
