SCAL,NGEN,NBPS,REPL,GENE,NL,I1,I2,FN,FP,RF
noscale,200g,1000b,R10,1,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,2,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,3,37,34,34,10,10,0.294118
noscale,200g,1000b,R10,4,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,5,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,6,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,7,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,8,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,9,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,10,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,11,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,12,37,34,34,16,16,0.470588
noscale,200g,1000b,R10,13,37,34,34,10,10,0.294118
noscale,200g,1000b,R10,14,37,34,34,10,10,0.294118
noscale,200g,1000b,R10,15,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,16,37,34,34,8,8,0.235294
noscale,200g,1000b,R10,17,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,18,37,34,34,16,16,0.470588
noscale,200g,1000b,R10,19,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,20,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,21,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,22,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,23,37,34,34,16,16,0.470588
noscale,200g,1000b,R10,24,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,25,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,26,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,27,37,34,34,10,10,0.294118
noscale,200g,1000b,R10,28,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,29,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,30,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,31,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,32,37,34,34,19,19,0.558824
noscale,200g,1000b,R10,33,37,34,34,14,14,0.411765
noscale,200g,1000b,R10,34,37,34,34,10,10,0.294118
noscale,200g,1000b,R10,35,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,36,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,37,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,38,37,34,34,9,9,0.264706
noscale,200g,1000b,R10,39,37,34,34,7,7,0.205882
noscale,200g,1000b,R10,40,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,41,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,42,37,34,34,10,10,0.294118
noscale,200g,1000b,R10,43,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,44,37,34,34,10,10,0.294118
noscale,200g,1000b,R10,45,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,46,37,34,34,18,18,0.529412
noscale,200g,1000b,R10,47,37,34,34,12,12,0.352941
noscale,200g,1000b,R10,48,37,34,34,15,15,0.441176
noscale,200g,1000b,R10,49,37,34,34,8,8,0.235294
noscale,200g,1000b,R10,50,37,34,34,13,13,0.382353
noscale,200g,1000b,R10,51,37,34,34,11,11,0.323529
noscale,200g,1000b,R10,52,37,34,34,17,17,0.500000
