NTAX,STRHT,SRATE,REPL,GTRE,NGEN,MTHD,NODE,real,user,sys
100,2000000,0.000001,01,estimatedgenetre,1000,quartets,heron02,241m26.801s,534m32.009s,287m39.294s
100,2000000,0.000001,01,estimatedgenetre,250,quartets,heron07,60m30.956s,133m25.451s,70m51.888s
100,2000000,0.000001,02,estimatedgenetre,1000,quartets,heron03,253m15.176s,532m46.699s,304m41.980s
100,2000000,0.000001,02,estimatedgenetre,250,quartets,heron04,63m51.788s,134m10.086s,74m35.547s
100,2000000,0.000001,03,estimatedgenetre,1000,quartets,heron05,255m13.132s,536m39.814s,308m38.920s
100,2000000,0.000001,03,estimatedgenetre,250,quartets,heron10,61m20.472s,131m25.766s,72m33.385s
100,2000000,0.000001,04,estimatedgenetre,1000,quartets,heron06,261m41.486s,545m15.899s,309m22.834s
100,2000000,0.000001,04,estimatedgenetre,250,quartets,heron01,62m37.772s,132m34.370s,74m1.325s
100,2000000,0.000001,05,estimatedgenetre,1000,quartets,heron11,242m33.430s,547m15.211s,288m21.396s
100,2000000,0.000001,05,estimatedgenetre,250,quartets,heron06,67m8.990s,132m57.062s,77m53.653s
100,2000000,0.000001,06,estimatedgenetre,1000,quartets,heron09,251m59.844s,535m22.597s,301m29.239s
100,2000000,0.000001,06,estimatedgenetre,250,quartets,heron11,58m36.003s,136m22.421s,68m16.895s
100,2000000,0.000001,07,estimatedgenetre,1000,quartets,heron04,253m35.331s,542m11.663s,298m9.885s
100,2000000,0.000001,07,estimatedgenetre,250,quartets,heron05,65m4.982s,132m55.277s,77m10.507s
100,2000000,0.000001,08,estimatedgenetre,1000,quartets,heron08,252m16.549s,535m19.375s,303m51.694s
100,2000000,0.000001,08,estimatedgenetre,250,quartets,heron03,62m59.112s,132m27.872s,75m13.749s
100,2000000,0.000001,09,estimatedgenetre,1000,quartets,heron07,240m19.502s,532m37.490s,285m35.606s
100,2000000,0.000001,09,estimatedgenetre,250,quartets,heron02,61m29.376s,132m31.857s,72m34.015s
100,2000000,0.000001,10,estimatedgenetre,1000,quartets,heron01,254m28.660s,537m6.352s,304m26.690s
100,2000000,0.000001,10,estimatedgenetre,250,quartets,heron09,62m42.201s,131m28.242s,73m51.359s
100,2000000,0.000001,11,estimatedgenetre,1000,quartets,heron10,243m31.827s,530m8.339s,292m30.003s
100,2000000,0.000001,11,estimatedgenetre,250,quartets,heron08,65m37.343s,134m44.202s,76m40.857s
100,2000000,0.000001,12,estimatedgenetre,1000,quartets,heron00,416m0.107s,928m51.220s,483m28.509s
100,2000000,0.000001,12,estimatedgenetre,250,quartets,heron00,102m2.460s,232m50.637s,115m59.876s
100,2000000,0.000001,13,estimatedgenetre,1000,quartets,heron02,243m40.002s,537m18.070s,288m40.076s
100,2000000,0.000001,13,estimatedgenetre,250,quartets,heron07,62m1.606s,133m7.099s,72m11.767s
100,2000000,0.000001,14,estimatedgenetre,1000,quartets,heron03,254m41.559s,536m13.061s,303m28.198s
100,2000000,0.000001,14,estimatedgenetre,250,quartets,heron01,64m32.084s,134m40.568s,76m46.918s
100,2000000,0.000001,15,estimatedgenetre,1000,quartets,heron09,246m10.071s,528m4.585s,295m7.369s
100,2000000,0.000001,15,estimatedgenetre,250,quartets,heron04,63m26.881s,133m52.875s,73m5.024s
100,2000000,0.000001,16,estimatedgenetre,1000,quartets,heron04,252m29.012s,542m54.031s,299m6.575s
100,2000000,0.000001,16,estimatedgenetre,250,quartets,heron11,61m12.889s,132m25.328s,72m25.719s
100,2000000,0.000001,17,estimatedgenetre,1000,quartets,heron11,241m14.837s,534m10.255s,289m46.144s
100,2000000,0.000001,17,estimatedgenetre,250,quartets,heron03,60m39.728s,131m46.458s,71m55.119s
100,2000000,0.000001,18,estimatedgenetre,1000,quartets,heron06,272m3.902s,542m33.790s,326m23.449s
100,2000000,0.000001,18,estimatedgenetre,250,quartets,heron05,65m19.981s,133m37.490s,76m43.819s
100,2000000,0.000001,19,estimatedgenetre,1000,quartets,heron05,257m48.579s,546m6.380s,308m23.631s
100,2000000,0.000001,19,estimatedgenetre,250,quartets,heron02,62m25.750s,132m36.326s,73m28.019s
100,2000000,0.000001,20,estimatedgenetre,1000,quartets,heron08,261m37.382s,544m47.635s,310m10.387s
100,2000000,0.000001,20,estimatedgenetre,250,quartets,heron10,63m33.559s,131m14.580s,75m0.516s
100,2000000,0.000001,21,estimatedgenetre,1000,quartets,heron07,246m16.691s,544m12.184s,290m27.317s
100,2000000,0.000001,21,estimatedgenetre,250,quartets,heron09,62m32.557s,131m11.100s,73m45.483s
100,2000000,0.000001,22,estimatedgenetre,1000,quartets,heron01,248m35.410s,537m42.675s,298m24.693s
100,2000000,0.000001,22,estimatedgenetre,250,quartets,heron06,67m59.582s,133m57.753s,79m23.307s
100,2000000,0.000001,23,estimatedgenetre,1000,quartets,heron10,247m51.429s,537m27.065s,298m10.860s
100,2000000,0.000001,23,estimatedgenetre,250,quartets,heron08,66m4.365s,135m0.249s,77m22.461s
100,2000000,0.000001,24,estimatedgenetre,1000,quartets,heron00,418m50.641s,952m9.918s,484m18.503s
100,2000000,0.000001,24,estimatedgenetre,250,quartets,heron00,103m12.505s,231m50.648s,117m20.727s
100,2000000,0.000001,25,estimatedgenetre,1000,quartets,heron02,236m40.736s,537m7.974s,278m37.552s
100,2000000,0.000001,25,estimatedgenetre,250,quartets,heron07,61m40.573s,134m41.600s,71m58.318s
100,2000000,0.000001,26,estimatedgenetre,1000,quartets,heron03,250m2.190s,531m23.404s,298m14.380s
100,2000000,0.000001,26,estimatedgenetre,250,quartets,heron01,60m28.275s,132m36.547s,72m3.376s
100,2000000,0.000001,27,estimatedgenetre,1000,quartets,heron09,247m11.697s,524m36.046s,298m41.142s
100,2000000,0.000001,27,estimatedgenetre,250,quartets,heron03,63m48.980s,130m39.658s,75m15.556s
100,2000000,0.000001,28,estimatedgenetre,1000,quartets,heron11,225m38.540s,537m46.316s,262m49.887s
100,2000000,0.000001,28,estimatedgenetre,250,quartets,heron05,65m46.238s,133m36.726s,77m14.833s
