NTAX,STRHT,SRATE,REPL,GTRE,NGEN,MTHD,NL,I1,I2,FN,FP,RF
1000,2000000,0.000001,01,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,29,29,0.029058
1000,2000000,0.000001,01,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,41,41,0.041082
1000,2000000,0.000001,01,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,11,11,0.011022
1000,2000000,0.000001,01,truegenetrees,250,astral_3_v5.7.7,1001,998,998,25,25,0.025050
1000,2000000,0.000001,02,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,233,233,0.233467
1000,2000000,0.000001,02,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,234,234,0.234469
1000,2000000,0.000001,02,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,8,8,0.008016
1000,2000000,0.000001,02,truegenetrees,250,astral_3_v5.7.7,1001,998,998,16,16,0.016032
1000,2000000,0.000001,03,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,20,20,0.020040
1000,2000000,0.000001,03,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,24,24,0.024048
1000,2000000,0.000001,03,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,12,12,0.012024
1000,2000000,0.000001,03,truegenetrees,250,astral_3_v5.7.7,1001,998,998,22,22,0.022044
1000,2000000,0.000001,04,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,37,37,0.037074
1000,2000000,0.000001,04,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,57,57,0.057114
1000,2000000,0.000001,04,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,8,8,0.008016
1000,2000000,0.000001,04,truegenetrees,250,astral_3_v5.7.7,1001,998,998,22,22,0.022044
1000,2000000,0.000001,05,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,19,19,0.019038
1000,2000000,0.000001,05,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,29,29,0.029058
1000,2000000,0.000001,05,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,7,7,0.007014
1000,2000000,0.000001,05,truegenetrees,250,astral_3_v5.7.7,1001,998,998,13,13,0.013026
1000,2000000,0.000001,06,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,80,80,0.080160
1000,2000000,0.000001,06,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,9,9,0.009018
1000,2000000,0.000001,06,truegenetrees,250,astral_3_v5.7.7,1001,998,998,22,22,0.022044
1000,2000000,0.000001,07,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,17,17,0.017034
1000,2000000,0.000001,07,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,24,24,0.024048
1000,2000000,0.000001,07,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,4,4,0.004008
1000,2000000,0.000001,07,truegenetrees,250,astral_3_v5.7.7,1001,998,998,10,10,0.010020
1000,2000000,0.000001,08,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,200,200,0.200401
1000,2000000,0.000001,08,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,10,10,0.010020
1000,2000000,0.000001,08,truegenetrees,250,astral_3_v5.7.7,1001,998,998,22,22,0.022044
1000,2000000,0.000001,09,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,23,23,0.023046
1000,2000000,0.000001,09,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,32,32,0.032064
1000,2000000,0.000001,09,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,14,14,0.014028
1000,2000000,0.000001,09,truegenetrees,250,astral_3_v5.7.7,1001,998,998,20,20,0.020040
1000,2000000,0.000001,10,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,19,19,0.019038
1000,2000000,0.000001,10,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,37,37,0.037074
1000,2000000,0.000001,10,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,19,19,0.019038
1000,2000000,0.000001,10,truegenetrees,250,astral_3_v5.7.7,1001,998,998,23,23,0.023046
1000,2000000,0.000001,11,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,24,24,0.024048
1000,2000000,0.000001,11,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,49,49,0.049098
1000,2000000,0.000001,11,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,4,4,0.004008
1000,2000000,0.000001,11,truegenetrees,250,astral_3_v5.7.7,1001,998,998,23,23,0.023046
1000,2000000,0.000001,12,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,29,29,0.029058
1000,2000000,0.000001,12,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,44,44,0.044088
1000,2000000,0.000001,12,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,8,8,0.008016
1000,2000000,0.000001,12,truegenetrees,250,astral_3_v5.7.7,1001,998,998,23,23,0.023046
1000,2000000,0.000001,13,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,18,18,0.018036
1000,2000000,0.000001,13,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,36,36,0.036072
1000,2000000,0.000001,13,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,11,11,0.011022
1000,2000000,0.000001,13,truegenetrees,250,astral_3_v5.7.7,1001,998,998,18,18,0.018036
1000,2000000,0.000001,14,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,21,21,0.021042
1000,2000000,0.000001,14,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,35,35,0.035070
1000,2000000,0.000001,14,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,11,11,0.011022
1000,2000000,0.000001,14,truegenetrees,250,astral_3_v5.7.7,1001,998,998,18,18,0.018036
1000,2000000,0.000001,15,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,32,32,0.032064
1000,2000000,0.000001,15,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,43,43,0.043086
1000,2000000,0.000001,15,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,15,15,0.015030
1000,2000000,0.000001,15,truegenetrees,250,astral_3_v5.7.7,1001,998,998,18,18,0.018036
1000,2000000,0.000001,16,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,47,47,0.047094
1000,2000000,0.000001,16,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,46,46,0.046092
1000,2000000,0.000001,16,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,8,8,0.008016
1000,2000000,0.000001,16,truegenetrees,250,astral_3_v5.7.7,1001,998,998,17,17,0.017034
1000,2000000,0.000001,17,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,17,17,0.017034
1000,2000000,0.000001,17,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,38,38,0.038076
1000,2000000,0.000001,17,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,7,7,0.007014
1000,2000000,0.000001,17,truegenetrees,250,astral_3_v5.7.7,1001,998,998,23,23,0.023046
1000,2000000,0.000001,18,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,37,37,0.037074
1000,2000000,0.000001,18,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,44,44,0.044088
1000,2000000,0.000001,18,truegenetrees,1000,astral_3_v5.7.7,1001,998,998,9,9,0.009018
1000,2000000,0.000001,18,truegenetrees,250,astral_3_v5.7.7,1001,998,998,18,18,0.018036
1000,2000000,0.000001,19,estimatedgenetre,1000,astral_3_v5.7.7,1001,998,998,27,27,0.027054
1000,2000000,0.000001,19,estimatedgenetre,250,astral_3_v5.7.7,1001,998,998,45,45,0.045090
