NTAX,STRHT,SRATE,REPL,GTRE,NGEN,MTHD,NODE,SEFN,SERF,NQSC,SECS,FRAC
10,2000000,1e-06,1,estimatedgenetre,250,treeqmc_n0_v1.0.0,heron00,0,0.0,0.8403515151515152,0.183,0.0
10,2000000,1e-06,1,estimatedgenetre,250,treeqmc_n1_v1.0.0,heron00,0,0.0,0.8403515151515152,0.174,0.0
10,2000000,1e-06,1,estimatedgenetre,250,treeqmc_n2_v1.0.0,heron00,0,0.0,0.8403515151515152,0.174,0.0
10,2000000,1e-06,1,estimatedgenetre,250,astral_3_v5.7.7,heron00,0,0.0,0.8403515151515152,1.917,0.0
10,2000000,1e-06,1,estimatedgenetre,250,fastral,heron00,0,0.0,0.8403515151515152,8.487,0.0
10,2000000,1e-06,1,estimatedgenetre,250,wqfm_v1.3,heron00,0,0.0,0.8403515151515152,7.384,0.8090465872156013
10,2000000,1e-06,1,estimatedgenetre,250,wqmc_v3.0,heron00,0,0.0,0.8403515151515152,6.15,0.9713821138211381
10,2000000,1e-06,1,estimatedgenetre,250,TRUE,heron00,0,0.0,0.8403515151515152,0.0,0.0
10,2000000,1e-06,1,truegenetrees,250,treeqmc_n0_v1.0.0,heron00,0,0.0,0.9077575757575758,0.201,0.0
10,2000000,1e-06,1,truegenetrees,250,treeqmc_n1_v1.0.0,heron00,0,0.0,0.9077575757575758,0.181,0.0
10,2000000,1e-06,1,truegenetrees,250,treeqmc_n2_v1.0.0,heron00,0,0.0,0.9077575757575758,0.181,0.0
10,2000000,1e-06,1,truegenetrees,250,astral_3_v5.7.7,heron00,0,0.0,0.9077575757575758,1.375,0.0
10,2000000,1e-06,1,truegenetrees,250,fastral,heron00,0,0.0,0.9077575757575758,6.799,0.0
10,2000000,1e-06,1,truegenetrees,250,TRUE,heron00,0,0.0,0.9077575757575758,0.0,0.0
10,2000000,1e-06,1,estimatedgenetre,1000,treeqmc_n0_v1.0.0,heron00,0,0.0,0.8431878787878788,0.722,0.0
10,2000000,1e-06,1,estimatedgenetre,1000,treeqmc_n1_v1.0.0,heron00,0,0.0,0.8431878787878788,0.717,0.0
10,2000000,1e-06,1,estimatedgenetre,1000,treeqmc_n2_v1.0.0,heron00,0,0.0,0.8431878787878788,0.531,0.0
10,2000000,1e-06,1,estimatedgenetre,1000,astral_3_v5.7.7,heron00,0,0.0,0.8431878787878788,2.544,0.0
10,2000000,1e-06,1,estimatedgenetre,1000,fastral,heron00,0,0.0,0.8431878787878788,11.093,0.0
10,2000000,1e-06,1,estimatedgenetre,1000,wqfm_v1.3,heron00,0,0.0,0.8431878787878788,21.326999999999998,0.9388099592066395
10,2000000,1e-06,1,estimatedgenetre,1000,wqmc_v3.0,heron00,0,0.0,0.8431878787878788,20.198999999999998,0.9912371899598991
10,2000000,1e-06,1,estimatedgenetre,1000,TRUE,heron00,0,0.0,0.8431878787878788,0.0,0.0
