NCELL,NMUT,ALPHA_FP,BETA_FN,GAMMA_NA,S,H,MINVAF,ISAV,D,L,REPL,MTHD,NODE,SECS,NLEAF,NINT_ESTI,SE_FP,NINT_TRUE,SE_FN,SL_P,SL_R,SL_FPR,DL_P,DL_R,DL_FPR,AD_P,AD_R,AD_FPR,AD_FLIP,QS,NQS
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo1,huntress_v0.1.2.0_default,heron04,119.003,300,125,58,84,17,0.9493670886075949,0.587467362924282,0.0003080319326436841,0.9681999335768847,0.9989434608794975,0.002777777777777778,0.9367216425445978,0.7068834137668275,0.005112561082394148,0.0025089605734767025,1086097593,0.8846282318118416
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo1,scistree_v1.2.0.6_wmuts,heron04,1175.913,300,137,85,84,32,0.9222797927461139,0.46475195822454307,0.00038503991580460505,0.9665892244717336,0.9979440319817248,0.003472222222222222,0.9073888331661651,0.6893573787147574,0.007174533231647035,0.008403361344537815,1102364695,0.8978778124864605
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo1,fastral_wrootx_wmuts,heron04,263.972,300,121,81,84,44,0.815,0.4255874673629243,0.0009497651256513592,0.9654638034093425,0.9962307252998287,0.008564814814814815,0.8861517976031957,0.6761493522987045,0.008954043442646104,0.009304056568663937,1103508907,0.8988097749960007
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo1,fastme_v2.1.5_wrootx_wmuts,heron04,2.302,300,127,80,84,37,0.844559585492228,0.4255874673629243,0.0007700798316092101,0.9672458225953945,0.9967161621930326,0.006944444444444444,0.8950980392156863,0.6957073914147829,0.00850210434143999,0.007249003262051468,1100462206,0.8963282321439954
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo1,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron04,192.149,300,128,73,84,29,0.8790697674418605,0.4934725848563969,0.0006674025207279821,0.9670204805587118,0.9963735008566533,0.0060185185185185185,0.8987508218277449,0.6944373888747778,0.008219642403186171,0.0061795710650672485,1101102133,0.8968494537120636
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo2,huntress_v0.1.2.0_default,heron11,135.482,300,125,58,86,19,0.9471698113207547,0.6167076167076168,0.00033270752631954183,0.9915347715670934,0.9990953267162944,0.003686150605581885,0.9413218035824583,0.898849896785609,0.004604169331116511,0.0032701111837802484,1053536630,0.8409146818703161
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo2,scistree_v1.2.0.6_wmuts,heron11,1236.763,300,136,91,86,41,0.9390862944162437,0.45454545454545453,0.0002851778797024644,0.9899567010837539,0.9987334574028123,0.00315955766192733,0.919889502762431,0.8838100855204954,0.006292364752525898,0.0049800796812749,1073423767,0.8567882500097233
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo2,fastral_wrootx_wmuts,heron11,274.551,300,125,79,86,40,0.9052132701421801,0.4692874692874693,0.000475296466170774,0.9894609670205382,0.9949596774193549,0.0052659294365455505,0.8837485172004745,0.8787968150987909,0.009668755595344674,0.004676018704074816,1078304315,0.8606838188508112
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo2,fastme_v2.1.5_wrootx_wmuts,heron11,2.391,300,135,82,86,33,0.9195979899497487,0.44963144963144963,0.0003802371729366192,0.9907738171725219,0.9964846980976013,0.00421274354923644,0.8975118483412322,0.8935417281038042,0.008594449418084155,0.003289473684210526,1074515575,0.8576597122359426
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo2,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron11,201.288,300,130,78,86,34,0.8778280542986425,0.47665847665847666,0.0006416502293305449,0.9902713247940036,0.9971567411083541,0.0071090047393364926,0.9081015719467956,0.8858743733411973,0.007545721959329838,0.002987056090275473,1074912008,0.8579761381869586
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo3,huntress_v0.1.2.0_default,heron03,120.269,300,121,58,88,25,0.8607142857142858,0.6392572944297082,0.0010009496188691837,0.9909247464669382,0.9982651319050504,0.012888301387970919,0.9172385950746871,0.8576821442053605,0.005042108418958327,0.008726003490401396,849219488,0.8619803511418876
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo3,scistree_v1.2.0.6_wmuts,heron03,717.572,300,135,79,88,32,0.9184782608695652,0.4482758620689655,0.00038498062264199367,0.9880543282605139,0.9976317673624497,0.00495703899537343,0.8859437751004016,0.8327670819177048,0.007140715706849091,0.009874326750448833,869994324,0.8830673618419944
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo3,fastral_wrootx_wmuts,heron03,277.079,300,135,91,88,44,0.8478260869565217,0.41379310344827586,0.0007186304955983882,0.9901531728665208,0.9968607148758055,0.009253139458030404,0.863251155624037,0.8459796149490374,0.008721484832792782,0.015377855887521968,863524049,0.8764998607479962
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo3,fastme_v2.1.5_wrootx_wmuts,heron03,2.404,300,147,93,88,34,0.9106145251396648,0.4323607427055703,0.0004106459974847933,0.9892988121955225,0.9954012226689432,0.005287508261731659,0.857796416317194,0.8493771234428086,0.009648142596277016,0.008373732921992068,863364550,0.8763379650237818
n300,m300,fp0.001,fn0.2,na0.05,s100,h1,minVAF0.005,ISAV0,d0,l1000000,simNo3,treeqmcbip_v1.0.0_n2_wrootx_wmuts,heron03,192.218,300,131,74,88,31,0.9020618556701031,0.46419098143236076,0.000487642122013192,0.9874385581649372,0.9957592113234566,0.006278916060806345,0.8638163103721298,0.8237070592676482,0.00874873947289526,0.010430839002267574,862964096,0.8759314935703898
