EnglishName,LatinName,CodeName
Outgroup,outgroup,allgtrmss
Dark-eyed_junco,junco_hyemalis,junchymls
White-throated_sparrow,zonotrichia_albicollis,zntrchlbc
Song_sparrow,melospiza_melodia,mlspzmldm
Medium_ground_finch,geospiza_fortis,gespzfrts
Small_tree_finch,camarhynchus_parvulus,cmrhynchs
Common_canary,serinus_canaria_forma_domestica,serinscnr
Rufous-breasted_accentor,prunella_strophiata,prnllstrp
Zebra_finch,t._guttata,tnpyggttt
Bengalese_finch,lonchura_striata_domestica,lnchrstrt
Gouldian_finch,chloebia_gouldiae,erythrrgl
Flycatcher,empidonax_alnorum,fcdllbcll
Swainson's_thrush,catharus_ustulatus,cthrsstlt
Common_starling,sturnus_vulgaris,strnsvlgr
Great_tit,parus_major,parusmajr
Tibetan_ground-tit,pseudopodoces_humilis,psdpdcshm
Blue_tit,cyanistes_caeruleus,cynstscrl
Rufous-capped_babbler,cyanoderma_ruficeps,stchyrsrf
Reunion_grey_white-eye,zosterops_borbonicus,zstrpsbrb
Barn_swallow,hirundo_rustica,hrndrstcr
American_crow,corvus_brachyrhynchos,crvsbrchy
New_Caledonian_crow,corvus_moneduloides,crvsmndld
Painted_honeyeater,grantiella_picta,grntllpct
Satin_bowerbird,ptilonorhynchus_violaceus,ptlnrhync
Superb_lyrebird,menura_novaehollandiae,mnrnvhlln
Golden-collared_manakin,manacus_vitellinus,mncsvtlln
Wire-tailed_manakin,pipra_filicauda,pipraflcd
Blue-crowned_manakin,lepidothrix_coronata,lpdthrxcr
White-ruffed_manakin,corapipo_altera,corappltr
Lance-tailed_manakin,chiroxiphia_lanceolata,chrxphlnc
Saffron-crested_tyrant-manakin,neopelma_chrysocephalum,nplmchrys
Willow_flycatcher,empidonax_traillii,empdnxtrl
Hooded_pitta,pitta_sordida,pittasrdd
Rifleman,acanthisitta_chloris,acnthsttc
Budgerigar_(aka_Common_Parakeet_in_Springer),melopsittacus_undulatus,mlpsttcsn
Yellow-billed_parrot,amazona_collaria,amazncllr
Kea,nestor_notabilis,nstrntbls
Kakapo,strigops_habroptila,strgpshbr
Peregrine_falcon,falco_peregrinus,flcprgrns
Saker_falcon,falco_cherrug,falcchrrg
Red-legged_seriema,cariama_cristata,carmcrstt
Bald_eagle,haliaeetus_leucocephalus,hltslccph
White-tailed_eagle,haliaeetus_albicilla,hltslbcll
Eurasian_sparrowhawk,accipiter_nisus,accptrnss
Golden_eagle,aquila_chrysaetos,aqlchryst
Turkey_vulture,cathartes_aura,cathartsr
Burrowing_owl,athene_cunicularia,athncnclr
Barn_owl,tyto_alba,tytoalblb
Blue-throated_roller,eurystomus_gularis,erystmsgl
Woodland_kingfisher,halcyon_senegalensis,hlcynsngl
Carmine_bee-eater,merops_nubicus,merpsnbcs
Downy_woodpecker,dryobates_pubescens,pcdspbscn
Coppersmith_barbet,psilopogon_haemacephalus,pslpgnhmc
Paradise_jacamar,galbula_dea,galbulade
Rhinoceros_hornbill,buceros_rhinoceros,bcrsrhncr
Hoopoe,upupa_epops,upupaepps
Bar-tailed_trogon,apaloderma_vittatum,apldrmvtt
Cuckoo-roller,leptosomus_discolor,lptsmsdsc
Speckled_mousebird,colius_striatus,colsstrts
Dalmatian_pelican,pelecanus_crispus,plcnscrsp
Little_egret,egretta_garzetta,egrttgrzt
Crested_ibis,nipponia_nippon,nippnnppn
Great_cormorant,phalacrocorax_carbo,phlcrcrxc
Magnificent_frigatebird,fregata_magnificens,frgtmgnfc
Maguari_stork,ciconia_maguari,ciconimgr
Adelie_penguin,pygoscelis_adeliae,pygsclsdl
Emperor_penguin,aptenodytes_forsteri,aptndytsf
Northern_fulmar,fulmarus_glacialis,flmrsglcl
Yellow-nosed_albatross,thalassarche_chlororhynchos,thlssrchc
Red-throated_loon,gavia_stellata,gavistllt
Sunbittern,eurypyga_helias,erypyghls
Kagu,rhynochetos_jubatus,rhynchtsj
White-tailed_tropicbird,phaethon_lepturus,phthnlptr
Hoatzin,opisthocomus_hoazin,opsthcmsh
American_flamingo,phoenicopterus_ruber,phncptrsr
Great-crested_grebe,podiceps_cristatus,pdcpscrst
