id	position	f_xy|zw	f_xz|yw	f_xw|yz	totalf
0	1	0.867394	0	0.799112	1.66651
1	2	1.15994	0	0	1.15994
2	3	0.388227	0	0.815161	1.20339
3	4	0.823281	0	0.524713	1.34799
4	5	0.23012	0.392235	0	0.622355
5	6	0.852587	0	0.554647	1.40723
6	7	0.449207	0	0.332882	0.782089
7	8	1.16398	0	0	1.16398
8	9	0.330236	0	0.358701	0.688937
9	10	0	0	1.72184	1.72184
10	11	0	0	1.27277	1.27277
11	12	1.35111	0	0	1.35111
12	13	0	0.922892	0	0.922892
13	14	0	1.12887	0	1.12887
14	15	0.645639	0	0.425718	1.07136
15	16	0.933598	0	0	0.933598
16	17	0	1.45041	0	1.45041
17	18	1.37863	0	0	1.37863
18	19	0	0	1.8732	1.8732
19	20	0	0.671002	0.671673	1.34267
20	21	0.579158	0	0.981602	1.56076
21	22	0	0.426307	0.308677	0.734984
22	23	0	0.91964	0	0.91964
23	24	1.32506	0	0	1.32506
24	25	0.973055	0	0	0.973055
25	26	0.470768	0.26871	0	0.739478
26	27	0.688377	0	0.537617	1.22599
27	28	0	1.37718	0	1.37718
28	29	0.517868	0.464204	0	0.982073
29	30	0	1.47501	0	1.47501
30	31	0.722008	0.912247	0	1.63425
31	32	0	0.589847	0.628242	1.21809
32	33	0	0.979491	0	0.979491
33	34	0	1.49135	0	1.49135
34	35	0	1.17877	0	1.17877
35	36	0.759077	0	0.49196	1.25104
36	37	0	1.59698	0	1.59698
37	38	0	1.32925	0	1.32925
38	39	0.969466	0	0	0.969466
39	40	0.436418	0	0.603257	1.03967
40	41	0.936524	0	0	0.936524
41	42	0.458235	0.623685	0	1.08192
42	43	0	0	1.56539	1.56539
43	44	0	1.66112	0	1.66112
44	45	0.419786	0	0.303404	0.723191
45	46	0.601691	1.17974	0	1.78143
46	47	0.157913	0.272196	0.261	0.691109
47	48	0	0	1.63321	1.63321
48	49	0.497274	0.445617	0	0.942892
49	50	0.546078	0	0.701283	1.24736
50	51	0.393211	0.199027	0.499142	1.09138
51	52	1.13027	0.545585	0	1.67586
52	53	1.34843	0	0	1.34843
53	54	0.74638	0	0.355113	1.10149
54	55	1.0301	0.430449	0	1.46055
55	56	0	0.626035	0.455455	1.08149
56	57	0	0.21155	1.08505	1.2966
57	58	0	0.388633	0.941539	1.33017
58	59	0	1.02679	0	1.02679
59	60	0	1.81702	0	1.81702
60	61	0	1.43443	0	1.43443
61	62	0	0.935095	0	0.935095
62	63	1.11402	0	0	1.11402
63	64	0	1.11529	0	1.11529
64	65	1.16155	0	0.596094	1.75764
65	66	0	1.61025	0	1.61025
66	67	0	1.56467	0	1.56467
67	68	0.955252	0	0	0.955252
68	69	0.484473	0	0.722334	1.20681
69	70	0	1.16302	0	1.16302
70	71	0	1.25498	0	1.25498
71	72	1.34907	0	0	1.34907
72	73	0	0	1.50036	1.50036
73	74	0	1.39794	0	1.39794
74	75	1.28153	0	0	1.28153
75	76	0.982609	0	0	0.982609
76	77	0.212726	0.393628	0.627521	1.23387
77	78	0.455022	1.03247	0	1.4875
78	79	1.11124	0	0	1.11124
79	80	0	0	1.53171	1.53171
80	81	0	0	1.63109	1.63109
81	82	0.413763	0.767337	0	1.1811
82	83	0.151338	0	0.560741	0.712078
83	84	0.875469	0	0	0.875469
84	85	0	1.68423	0	1.68423
85	86	0	1.64003	0	1.64003
86	87	0.639262	0	0.362379	1.00164
87	88	0	1.35693	0	1.35693
88	89	0	1.54381	0	1.54381
89	90	0.732629	0	0	0.732629
90	91	0.479628	0	0.535367	1.01499
91	92	0	1.06561	0.52809	1.5937
92	93	0.500941	0.609195	0	1.11014
93	94	1.27128	0	0	1.27128
94	95	0	0.919944	0	0.919944
95	96	0.444217	0.270953	0	0.71517
96	97	0	0	1.3581	1.3581
97	98	0	1.69374	0	1.69374
98	99	0	0	1.28472	1.28472
99	100	1.34891	0	0	1.34891
100	101	1.13189	0	0	1.13189
101	102	0.349405	0.900929	0	1.25033
102	103	0.393735	0	0.678238	1.07197
103	104	0	1.00415	0	1.00415
104	105	1.04249	0	0	1.04249
105	106	0.337383	0	0.519794	0.857177
106	107	0.396605	0.625746	0	1.02235
107	108	1.03749	0	0	1.03749
108	109	0.915253	0	0	0.915253
109	110	1.26938	0	0	1.26938
110	111	0	0	1.50918	1.50918
111	112	0	0	1.47339	1.47339
112	113	0.605172	0	0	0.605172
113	114	0.665046	0	0	0.665046
114	115	0	1.28393	0	1.28393
115	116	1.66948	0	0	1.66948
116	117	1.40559	0	0	1.40559
117	118	0.798626	0.893243	0	1.69187
118	119	0	0.765016	0	0.765016
119	120	0.435425	0.584538	0	1.01996
120	121	0	0	0.874333	0.874333
121	122	0	1.45406	0	1.45406
122	123	0.433135	0	0.460401	0.893537
123	124	0.604152	0	0.800112	1.40426
124	125	0	1.73265	0	1.73265
125	126	0.244484	0.137497	0.550947	0.932928
126	127	0	1.67684	0	1.67684
127	128	0	1.07992	0	1.07992
128	129	0.411788	0	0	0.411788
129	130	0.784534	0.382233	0	1.16677
130	131	1.56273	0	0	1.56273
131	132	0	0	1.78371	1.78371
132	133	0	0.653558	0.40599	1.05955
133	134	0.368752	0.620152	0	0.988904
134	135	0.45276	0	0.933599	1.38636
135	136	0.464073	0.511329	0	0.975402
136	137	0	1.35251	0	1.35251
137	138	0	1.88597	0	1.88597
138	139	0.737866	0	0.588348	1.32621
139	140	1.34312	0	0	1.34312
140	141	1.07278	0	0	1.07278
141	142	1.32435	0	0	1.32435
142	143	0.348142	0	0.532034	0.880176
143	144	0.50505	0	0.401135	0.906185
144	145	0	0.578363	0.483903	1.06227
145	146	0.20062	1.12887	0	1.32949
146	147	0	0.379425	0.558247	0.937673
147	148	0.726337	0	0	0.726337
148	149	0	0.371391	0.829562	1.20095
149	150	0	0	1.54962	1.54962
150	151	0	0	1.63874	1.63874
151	152	0	0.376559	0.886698	1.26326
152	153	0.269683	0.54182	0.355675	1.16718
153	154	1.19988	0	0	1.19988
154	155	0	1.72557	0	1.72557
155	156	0.463314	0	0.849746	1.31306
156	157	0.73956	0	0.561842	1.3014
157	158	0	1.71861	0	1.71861
158	159	0	0	1.07458	1.07458
159	160	0	0.0994018	0.331873	0.431275
160	161	0	0	0.886739	0.886739
161	162	0	0.595025	0.352281	0.947306
162	163	0	1.71071	0	1.71071
163	164	0	0	1.05162	1.05162
164	165	0.582899	0	0.522476	1.10538
165	166	1.10562	0	0.237019	1.34264
166	167	1.21177	0	0	1.21177
167	168	1.12652	0	0	1.12652
168	169	0	1.29582	0	1.29582
169	170	0	1.46363	0	1.46363
170	171	0.56077	0	0.475759	1.03653
171	172	0.413999	0	1.01471	1.42871
172	173	1.74597	0	0	1.74597
