id	position	f_xy|zw	f_xz|yw	f_xw|yz	f_xyzw	totalf
0	1	60	0	60	0	120
1	2	120	0	0	0	120
2	3	40	0	80	0	120
3	4	60	0	40	0	100
4	5	40	60	0	0	100
5	6	60	0	60	0	120
6	7	40	0	40	0	80
7	8	100	0	0	0	100
8	9	40	0	40	0	80
9	10	0	0	120	0	120
10	11	0	0	100	0	100
11	12	100	0	0	0	100
12	13	0	100	0	0	100
13	14	0	100	0	0	100
14	15	50	0	50	0	100
15	16	100	0	0	0	100
16	17	0	120	0	0	120
17	18	100	0	0	0	100
18	19	0	0	120	0	120
19	20	0	50	50	0	100
20	21	40	0	80	0	120
21	22	0	40	40	0	80
22	23	0	100	0	0	100
23	24	100	0	0	0	100
24	25	120	0	0	0	120
25	26	60	40	0	0	100
26	27	60	0	60	0	120
27	28	0	100	0	0	100
28	29	48	72	0	0	120
29	30	0	120	0	0	120
30	31	60	60	0	0	120
31	32	0	60	60	0	120
32	33	0	100	0	0	100
33	34	0	120	0	0	120
34	35	0	100	0	0	100
35	36	60	0	40	0	100
36	37	0	120	0	0	120
37	38	0	100	0	0	100
38	39	100	0	0	0	100
39	40	40	0	60	0	100
40	41	100	0	0	0	100
41	42	40	60	0	0	100
42	43	0	0	120	0	120
43	44	0	120	0	0	120
44	45	48	0	32	0	80
45	46	40	80	0	0	120
46	47	20	30	50	0	100
47	48	0	0	120	0	120
48	49	60	40	0	0	100
49	50	40	0	60	0	100
50	51	40	20	60	0	120
51	52	80	40	0	0	120
52	53	100	0	0	0	100
53	54	80	0	40	0	120
54	55	80	40	0	0	120
55	56	0	60	40	0	100
56	57	0	20	100	0	120
57	58	0	40	80	0	120
58	59	0	120	0	0	120
59	60	0	120	0	0	120
60	61	0	120	0	0	120
61	62	0	120	0	0	120
62	63	100	0	0	0	100
63	64	0	100	0	0	100
64	65	80	0	40	0	120
65	66	0	120	0	0	120
66	67	0	100	0	0	100
67	68	100	0	0	0	100
68	69	40	0	80	0	120
69	70	0	100	0	0	100
70	71	0	100	0	0	100
71	72	120	0	0	0	120
72	73	0	0	120	0	120
73	74	0	120	0	0	120
74	75	100	0	0	0	100
75	76	100	0	0	0	100
76	77	20	30	50	0	100
77	78	40	80	0	0	120
78	79	120	0	0	0	120
79	80	0	0	120	0	120
80	81	0	0	120	0	120
81	82	40	60	0	0	100
82	83	16	0	80	0	96
83	84	100	0	0	0	100
84	85	0	120	0	0	120
85	86	0	120	0	0	120
86	87	60	0	40	0	100
87	88	0	120	0	0	120
88	89	0	120	0	0	120
89	90	100	0	0	0	100
90	91	40	0	80	0	120
91	92	0	80	40	0	120
92	93	40	60	0	0	100
93	94	80	0	0	0	80
94	95	0	96	0	0	96
95	96	80	40	0	0	120
96	97	0	0	120	0	120
97	98	0	120	0	0	120
98	99	0	0	100	0	100
99	100	120	0	0	0	120
100	101	120	0	0	0	120
101	102	40	80	0	0	120
102	103	40	0	60	0	100
103	104	0	100	0	0	100
104	105	100	0	0	0	100
105	106	40	0	60	0	100
106	107	40	60	0	0	100
107	108	100	0	0	0	100
108	109	120	0	0	0	120
109	110	96	0	0	0	96
110	111	0	0	120	0	120
111	112	0	0	120	0	120
112	113	100	0	0	0	100
113	114	120	0	0	0	120
114	115	0	100	0	0	100
115	116	120	0	0	0	120
116	117	120	0	0	0	120
117	118	60	60	0	0	120
118	119	0	100	0	0	100
119	120	40	60	0	0	100
120	121	0	0	100	0	100
121	122	0	120	0	0	120
122	123	50	0	50	0	100
123	124	40	0	80	0	120
124	125	0	120	0	0	120
125	126	20	20	60	0	100
126	127	0	120	0	0	120
127	128	0	100	0	0	100
128	129	60	0	0	0	60
129	130	80	40	0	0	120
130	131	120	0	0	0	120
131	132	0	0	120	0	120
132	133	0	60	40	0	100
133	134	50	50	0	0	100
134	135	40	0	80	0	120
135	136	40	80	0	0	120
