"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","NODE","SEFN","SEFNR","SECS"
200,"low","deep",1,"sh",1000,"ASTRID-ws","cbcb19",23,0.11616161616161616,0.281
200,"low","deep",1,"sh",1000,"TQMC-wh_n2","cbcb19",23,0.11616161616161616,172.852
200,"low","deep",1,"sh",1000,"ASTER-wh (1 thread)","cbcb19",23,0.11616161616161616,807.026
200,"low","deep",1,"sh",1000,"ASTER-wh (16 threads)","cbcb19",23,0.11616161616161616,27.544
200,"low","deep",2,"sh",1000,"ASTRID-ws","cbcb09",23,0.11616161616161616,0.266
200,"low","deep",2,"sh",1000,"TQMC-wh_n2","cbcb09",23,0.11616161616161616,166.133
200,"low","deep",2,"sh",1000,"ASTER-wh (1 thread)","cbcb09",23,0.11616161616161616,600.092
200,"low","deep",2,"sh",1000,"ASTER-wh (16 threads)","cbcb09",23,0.11616161616161616,42.191
200,"low","deep",3,"sh",1000,"ASTRID-ws","cbcb03",23,0.11616161616161616,0.272
200,"low","deep",3,"sh",1000,"TQMC-wh_n2","cbcb03",23,0.11616161616161616,161.11599999999999
200,"low","deep",3,"sh",1000,"ASTER-wh (1 thread)","cbcb03",23,0.11616161616161616,583.075
200,"low","deep",3,"sh",1000,"ASTER-wh (16 threads)","cbcb03",23,0.11616161616161616,32.189
200,"low","deep",4,"sh",1000,"ASTRID-ws","cbcb14",23,0.11616161616161616,0.323
200,"low","deep",4,"sh",1000,"TQMC-wh_n2","cbcb14",23,0.11616161616161616,187.523
200,"low","deep",4,"sh",1000,"ASTER-wh (1 thread)","cbcb14",23,0.11616161616161616,784.832
200,"low","deep",4,"sh",1000,"ASTER-wh (16 threads)","cbcb14",23,0.11616161616161616,44.397
200,"low","deep",5,"sh",1000,"ASTRID-ws","cbcb06",23,0.11616161616161616,0.3
200,"low","deep",5,"sh",1000,"TQMC-wh_n2","cbcb06",23,0.11616161616161616,183.683
200,"low","deep",5,"sh",1000,"ASTER-wh (1 thread)","cbcb06",23,0.11616161616161616,618.984
200,"low","deep",5,"sh",1000,"ASTER-wh (16 threads)","cbcb06",23,0.11616161616161616,33.86
200,"low","deep",6,"sh",1000,"ASTRID-ws","cbcb21",23,0.11616161616161616,0.283
200,"low","deep",6,"sh",1000,"TQMC-wh_n2","cbcb21",23,0.11616161616161616,168.507
200,"low","deep",6,"sh",1000,"ASTER-wh (1 thread)","cbcb21",23,0.11616161616161616,470.533
200,"low","deep",6,"sh",1000,"ASTER-wh (16 threads)","cbcb21",23,0.11616161616161616,25.783
200,"low","deep",7,"sh",1000,"ASTRID-ws","cbcb08",23,0.11616161616161616,0.29
200,"low","deep",7,"sh",1000,"TQMC-wh_n2","cbcb08",23,0.11616161616161616,169.3
200,"low","deep",7,"sh",1000,"ASTER-wh (1 thread)","cbcb08",23,0.11616161616161616,458.33
200,"low","deep",7,"sh",1000,"ASTER-wh (16 threads)","cbcb08",23,0.11616161616161616,26.273
200,"low","deep",8,"sh",1000,"ASTRID-ws","cbcb20",23,0.11616161616161616,0.271
200,"low","deep",8,"sh",1000,"TQMC-wh_n2","cbcb20",23,0.11616161616161616,159.778
200,"low","deep",8,"sh",1000,"ASTER-wh (1 thread)","cbcb20",23,0.11616161616161616,446.461
200,"low","deep",8,"sh",1000,"ASTER-wh (16 threads)","cbcb20",23,0.11616161616161616,33.763
