NTAX,ILSL,SPEC,REPL,SUPP,NGEN,MTHD,SEFN,SEFNR
200,low,deep,1,none,50,CA-ML,7,0.03535353535353535
200,low,deep,1,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,1,none,50,TQMC-n2,18,0.09090909090909091
200,low,deep,1,abayes,50,TQMC-ws_n2,17,0.08585858585858586
200,low,deep,1,sh,50,TQMC-ws_n2,21,0.10606060606060606
200,low,deep,1,abayes,50,TQMC-wh_n2,9,0.045454545454545456
200,low,deep,1,sh,50,TQMC-wh_n2,10,0.050505050505050504
200,low,deep,1,abayes,50,ASTER-wh,10,0.050505050505050504
200,low,deep,1,sh,50,ASTER-wh,13,0.06565656565656566
200,low,deep,1,abayes,50,ASTRID-ws,18,0.09090909090909091
200,low,deep,1,sh,50,ASTRID-ws,18,0.09090909090909091
200,low,deep,2,none,50,CA-ML,6,0.030303030303030304
200,low,deep,2,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,2,none,50,TQMC-n2,3,0.015151515151515152
200,low,deep,2,abayes,50,TQMC-ws_n2,4,0.020202020202020204
200,low,deep,2,sh,50,TQMC-ws_n2,5,0.025252525252525252
200,low,deep,2,abayes,50,TQMC-wh_n2,5,0.025252525252525252
200,low,deep,2,sh,50,TQMC-wh_n2,5,0.025252525252525252
200,low,deep,2,abayes,50,ASTER-wh,5,0.025252525252525252
200,low,deep,2,sh,50,ASTER-wh,7,0.03535353535353535
200,low,deep,2,abayes,50,ASTRID-ws,6,0.030303030303030304
200,low,deep,2,sh,50,ASTRID-ws,6,0.030303030303030304
200,low,deep,3,none,50,CA-ML,8,0.04040404040404041
200,low,deep,3,none,50,TQMC-n2-origstudy,NA,NA
200,low,deep,3,none,50,TQMC-n2,12,0.06060606060606061
200,low,deep,3,abayes,50,TQMC-ws_n2,11,0.05555555555555555
200,low,deep,3,sh,50,TQMC-ws_n2,11,0.05555555555555555
200,low,deep,3,abayes,50,TQMC-wh_n2,11,0.05555555555555555
200,low,deep,3,sh,50,TQMC-wh_n2,11,0.05555555555555555
200,low,deep,3,abayes,50,ASTER-wh,11,0.05555555555555555
200,low,deep,3,sh,50,ASTER-wh,13,0.06565656565656566
200,low,deep,3,abayes,50,ASTRID-ws,11,0.05555555555555555
