"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","NODE","SECS"
200,"low","deep",1,"abayes",50,"ASTRID-ws","cbcb01",0.088
200,"low","deep",1,"abayes",50,"ASTEROID","cbcb01",0.15
200,"low","deep",1,"abayes",50,"TQMC-wh_n2","cbcb01",24.64
200,"low","deep",1,"abayes",50,"ASTER-wh (16 threads)","cbcb01",6.235
200,"low","deep",1,"abayes",50,"ASTER-wh (1 thread)","cbcb01",27.859
200,"low","deep",1,"sh",50,"TQMC-n2","cbcb09",16.022
200,"low","deep",1,"abayes",50,"TQMC-n2","cbcb01",16.1
200,"low","deep",2,"abayes",50,"ASTRID-ws","cbcb01",0.091
200,"low","deep",2,"abayes",50,"ASTEROID","cbcb01",0.143
200,"low","deep",2,"abayes",50,"TQMC-wh_n2","cbcb01",21.365
200,"low","deep",2,"abayes",50,"ASTER-wh (16 threads)","cbcb01",6.29
200,"low","deep",2,"abayes",50,"ASTER-wh (1 thread)","cbcb01",17.698
200,"low","deep",2,"sh",50,"TQMC-n2","cbcb02",12.839
200,"low","deep",2,"abayes",50,"TQMC-n2","cbcb01",12.99
200,"low","deep",3,"abayes",50,"ASTRID-ws","cbcb01",0.103
200,"low","deep",3,"abayes",50,"ASTEROID","cbcb01",0.139
200,"low","deep",3,"abayes",50,"TQMC-wh_n2","cbcb01",20.556
200,"low","deep",3,"abayes",50,"ASTER-wh (16 threads)","cbcb01",5.978
200,"low","deep",3,"abayes",50,"ASTER-wh (1 thread)","cbcb01",19.94
200,"low","deep",3,"sh",50,"TQMC-n2","cbcb04",17.973
200,"low","deep",3,"abayes",50,"TQMC-n2","cbcb01",14.075
200,"low","deep",4,"abayes",50,"ASTRID-ws","cbcb01",0.113
200,"low","deep",4,"abayes",50,"ASTEROID","cbcb01",0.156
200,"low","deep",4,"abayes",50,"TQMC-wh_n2","cbcb01",29.706
200,"low","deep",4,"abayes",50,"ASTER-wh (16 threads)","cbcb01",6.619
200,"low","deep",4,"abayes",50,"ASTER-wh (1 thread)","cbcb01",39.901
200,"low","deep",4,"sh",50,"TQMC-n2","cbcb18",18.896
200,"low","deep",4,"abayes",50,"TQMC-n2","cbcb01",19.025
200,"low","deep",5,"abayes",50,"ASTRID-ws","cbcb01",0.154
200,"low","deep",5,"abayes",50,"ASTEROID","cbcb01",0.155
200,"low","deep",5,"abayes",50,"TQMC-wh_n2","cbcb01",22.38
200,"low","deep",5,"abayes",50,"ASTER-wh (16 threads)","cbcb01",6.128
200,"low","deep",5,"abayes",50,"ASTER-wh (1 thread)","cbcb01",22.287
200,"low","deep",5,"sh",50,"TQMC-n2","cbcb20",14.474
200,"low","deep",5,"abayes",50,"TQMC-n2","cbcb01",14.401
200,"low","deep",6,"abayes",50,"ASTRID-ws","cbcb01",0.098
200,"low","deep",6,"abayes",50,"ASTEROID","cbcb01",0.149
200,"low","deep",6,"abayes",50,"TQMC-wh_n2","cbcb01",22.577
200,"low","deep",6,"abayes",50,"ASTER-wh (16 threads)","cbcb01",5.533
200,"low","deep",6,"abayes",50,"ASTER-wh (1 thread)","cbcb01",26.175
200,"low","deep",6,"sh",50,"TQMC-n2","cbcb12",19.589
200,"low","deep",6,"abayes",50,"TQMC-n2","cbcb01",19.726
200,"low","deep",7,"abayes",50,"ASTRID-ws","cbcb01",0.088
200,"low","deep",7,"abayes",50,"ASTEROID","cbcb01",0.147
200,"low","deep",7,"abayes",50,"TQMC-wh_n2","cbcb01",22.635
200,"low","deep",7,"abayes",50,"ASTER-wh (16 threads)","cbcb01",6.378
200,"low","deep",7,"abayes",50,"ASTER-wh (1 thread)","cbcb01",35.555
200,"low","deep",7,"sh",50,"TQMC-n2","cbcb21",13.723
200,"low","deep",7,"abayes",50,"TQMC-n2","cbcb01",13.797
200,"low","deep",8,"abayes",50,"ASTRID-ws","cbcb01",0.091
200,"low","deep",8,"abayes",50,"ASTEROID","cbcb01",0.141
200,"low","deep",8,"abayes",50,"TQMC-wh_n2","cbcb01",21.629
200,"low","deep",8,"abayes",50,"ASTER-wh (16 threads)","cbcb01",4.585
200,"low","deep",8,"abayes",50,"ASTER-wh (1 thread)","cbcb01",24.917
200,"low","deep",8,"sh",50,"TQMC-n2","cbcb15",14.651
200,"low","deep",8,"abayes",50,"TQMC-n2","cbcb01",14.629
200,"low","deep",9,"abayes",50,"ASTRID-ws","cbcb08",0.112
200,"low","deep",9,"abayes",50,"ASTEROID","cbcb08",0.141
200,"low","deep",9,"abayes",50,"TQMC-wh_n2","cbcb08",20.936
200,"low","deep",9,"abayes",50,"ASTER-wh (16 threads)","cbcb08",6.712
200,"low","deep",9,"abayes",50,"ASTER-wh (1 thread)","cbcb08",20.863
200,"low","deep",9,"sh",50,"TQMC-n2","cbcb02",14.354
200,"low","deep",9,"abayes",50,"TQMC-n2","cbcb08",14.515
200,"low","deep",10,"abayes",50,"ASTRID-ws","cbcb01",0.134
200,"low","deep",10,"abayes",50,"ASTEROID","cbcb01",0.151
200,"low","deep",10,"abayes",50,"TQMC-wh_n2","cbcb01",22.014
200,"low","deep",10,"abayes",50,"ASTER-wh (16 threads)","cbcb01",6.847
200,"low","deep",10,"abayes",50,"ASTER-wh (1 thread)","cbcb01",21.687
200,"low","deep",10,"sh",50,"TQMC-n2","cbcb09",16.958
200,"low","deep",10,"abayes",50,"TQMC-n2","cbcb01",17.053
200,"low","deep",11,"abayes",50,"ASTRID-ws","cbcb02",0.072
200,"low","deep",11,"abayes",50,"ASTEROID","cbcb02",0.143
200,"low","deep",11,"abayes",50,"TQMC-wh_n2","cbcb02",19.418
200,"low","deep",11,"abayes",50,"ASTER-wh (16 threads)","cbcb02",4.141
200,"low","deep",11,"abayes",50,"ASTER-wh (1 thread)","cbcb02",20.234
200,"low","deep",11,"sh",50,"TQMC-n2","cbcb21",12.36
200,"low","deep",11,"abayes",50,"TQMC-n2","cbcb02",12.397
200,"low","deep",12,"abayes",50,"ASTRID-ws","cbcb08",0.108
200,"low","deep",12,"abayes",50,"ASTEROID","cbcb08",0.16
200,"low","deep",12,"abayes",50,"TQMC-wh_n2","cbcb08",25.863
200,"low","deep",12,"abayes",50,"ASTER-wh (16 threads)","cbcb08",6.192
200,"low","deep",12,"abayes",50,"ASTER-wh (1 thread)","cbcb08",20.993
200,"low","deep",12,"sh",50,"TQMC-n2","cbcb04",14.785
200,"low","deep",12,"abayes",50,"TQMC-n2","cbcb08",14.95
200,"low","deep",13,"abayes",50,"ASTRID-ws","cbcb01",0.08
200,"low","deep",13,"abayes",50,"ASTEROID","cbcb01",0.139
200,"low","deep",13,"abayes",50,"TQMC-wh_n2","cbcb01",18.823
200,"low","deep",13,"abayes",50,"ASTER-wh (16 threads)","cbcb01",4.495
200,"low","deep",13,"abayes",50,"ASTER-wh (1 thread)","cbcb01",27.613
200,"low","deep",13,"sh",50,"TQMC-n2","cbcb12",12.213
200,"low","deep",13,"abayes",50,"TQMC-n2","cbcb01",12.135
200,"low","deep",14,"abayes",50,"ASTRID-ws","cbcb02",0.087
200,"low","deep",14,"abayes",50,"ASTEROID","cbcb02",0.133
200,"low","deep",14,"abayes",50,"TQMC-wh_n2","cbcb02",21.663
200,"low","deep",14,"abayes",50,"ASTER-wh (16 threads)","cbcb02",4.58
200,"low","deep",14,"abayes",50,"ASTER-wh (1 thread)","cbcb02",24.372
200,"low","deep",14,"sh",50,"TQMC-n2","cbcb03",15.791
200,"low","deep",14,"abayes",50,"TQMC-n2","cbcb02",15.846
200,"low","deep",15,"abayes",50,"ASTRID-ws","cbcb08",0.084
200,"low","deep",15,"abayes",50,"ASTEROID","cbcb08",0.142
200,"low","deep",15,"abayes",50,"TQMC-wh_n2","cbcb08",19.417
200,"low","deep",15,"abayes",50,"ASTER-wh (16 threads)","cbcb08",5.191
200,"low","deep",15,"abayes",50,"ASTER-wh (1 thread)","cbcb08",24.686
200,"low","deep",15,"sh",50,"TQMC-n2","cbcb08",13.431
200,"low","deep",15,"abayes",50,"TQMC-n2","cbcb08",13.531
200,"low","deep",16,"abayes",50,"ASTRID-ws","cbcb01",0.108
200,"low","deep",16,"abayes",50,"ASTEROID","cbcb01",0.152
200,"low","deep",16,"abayes",50,"TQMC-wh_n2","cbcb01",23.588
200,"low","deep",16,"abayes",50,"ASTER-wh (16 threads)","cbcb01",5.445
200,"low","deep",16,"abayes",50,"ASTER-wh (1 thread)","cbcb01",35.86
200,"low","deep",16,"sh",50,"TQMC-n2","cbcb02",13.587
200,"low","deep",16,"abayes",50,"TQMC-n2","cbcb01",13.687
200,"low","deep",17,"abayes",50,"ASTRID-ws","cbcb02",0.082
200,"low","deep",17,"abayes",50,"ASTEROID","cbcb02",0.144
200,"low","deep",17,"abayes",50,"TQMC-wh_n2","cbcb02",19.661
200,"low","deep",17,"abayes",50,"ASTER-wh (16 threads)","cbcb02",4.411
200,"low","deep",17,"abayes",50,"ASTER-wh (1 thread)","cbcb02",19.475
200,"low","deep",17,"sh",50,"TQMC-n2","cbcb11",12.672
200,"low","deep",17,"abayes",50,"TQMC-n2","cbcb02",12.664
200,"low","deep",18,"abayes",50,"ASTRID-ws","cbcb08",0.116
200,"low","deep",18,"abayes",50,"ASTEROID","cbcb08",0.149
200,"low","deep",18,"abayes",50,"TQMC-wh_n2","cbcb08",23.085
200,"low","deep",18,"abayes",50,"ASTER-wh (16 threads)","cbcb08",4.282
200,"low","deep",18,"abayes",50,"ASTER-wh (1 thread)","cbcb08",26.84
200,"low","deep",18,"sh",50,"TQMC-n2","cbcb09",13.421
