"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","SEFN","SEFNR","QSCR","AVG_LPP","MED_LPP","AVG_QQS","MED_QQS"
10,"medium","shallow",1,"sh",50,"CA-ML",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",1,"abayes",50,"ASTEROID",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",1,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",1,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",1,"abayes",50,"TQMC-wh_n2",0,0.0,4361.784702,0.97865425,1.0,0.8412014999999999,0.9266654999999999
10,"medium","shallow",1,"abayes",50,"ASTER-wh",0,0.0,4361.784702,0.97865425,1.0,0.8412014999999999,0.9266654999999999
10,"medium","shallow",2,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",2,"abayes",50,"ASTEROID",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",2,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",2,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",2,"abayes",50,"TQMC-wh_n2",0,0.0,11976.47406,0.9880705000000001,1.0,0.8567145,0.9636945
10,"medium","shallow",2,"abayes",50,"ASTER-wh",0,0.0,11976.47406,0.9880705000000001,1.0,0.8567145,0.9636945
10,"medium","shallow",3,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",3,"abayes",50,"ASTEROID",2,0.25,"NA","NA","NA","NA","NA"
10,"medium","shallow",3,"abayes",50,"ASTRID-ws",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",3,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",3,"abayes",50,"TQMC-wh_n2",1,0.125,6626.540491,0.989615125,1.0,0.837752625,0.9712594999999999
10,"medium","shallow",3,"abayes",50,"ASTER-wh",1,0.125,6626.540491,0.989615125,1.0,0.837752625,0.9712594999999999
10,"medium","shallow",4,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",4,"abayes",50,"ASTEROID",5,0.625,"NA","NA","NA","NA","NA"
10,"medium","shallow",4,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",4,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",4,"abayes",50,"TQMC-wh_n2",0,0.0,10929.29641,0.96086275,1.0,0.8222438750000001,0.912236
10,"medium","shallow",4,"abayes",50,"ASTER-wh",0,0.0,10929.29641,0.96086275,1.0,0.8222438750000001,0.912236
10,"medium","shallow",5,"sh",50,"CA-ML",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",5,"abayes",50,"ASTEROID",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",5,"abayes",50,"ASTRID-ws",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",5,"abayes",50,"TQMC-n2",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",5,"abayes",50,"TQMC-wh_n2",0,0.0,13269.22556,0.9152597499999999,1.0,0.852065875,0.898118
10,"medium","shallow",5,"abayes",50,"ASTER-wh",1,0.125,13274.62832,0.927933875,1.0,0.8565136250000001,0.898118
10,"medium","shallow",6,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",6,"abayes",50,"ASTEROID",4,0.5,"NA","NA","NA","NA","NA"
10,"medium","shallow",6,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",6,"abayes",50,"TQMC-n2",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",6,"abayes",50,"TQMC-wh_n2",0,0.0,9678.365836,0.999930625,1.0,0.8397477499999999,0.8705615
10,"medium","shallow",6,"abayes",50,"ASTER-wh",0,0.0,9678.365836,0.999930625,1.0,0.8397477499999999,0.8705615
10,"medium","shallow",7,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",7,"abayes",50,"ASTEROID",6,0.75,"NA","NA","NA","NA","NA"
10,"medium","shallow",7,"abayes",50,"ASTRID-ws",0,0.0,"NA","NA","NA","NA","NA"
10,"medium","shallow",7,"abayes",50,"TQMC-n2",1,0.125,"NA","NA","NA","NA","NA"
10,"medium","shallow",7,"abayes",50,"TQMC-wh_n2",0,0.0,10842.25283,0.9791611250000001,1.0,0.88387775,0.9439664999999999
10,"medium","shallow",7,"abayes",50,"ASTER-wh",0,0.0,10842.25283,0.9791611250000001,1.0,0.88387775,0.9439664999999999
10,"medium","shallow",8,"sh",50,"CA-ML",0,0.0,"NA","NA","NA","NA","NA"
