"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","NODE","SEFN","SEFNR","SECS"
10,"medium","shallow",1,"sh",1000,"ASTRID-ws","cbcb03",23,2.875,0.033
10,"medium","shallow",1,"sh",1000,"TQMC-wh_n2","cbcb03",23,2.875,0.331
10,"medium","shallow",1,"sh",1000,"ASTER-wh (1 thread)","cbcb03",23,2.875,0.875
10,"medium","shallow",1,"sh",1000,"ASTER-wh (16 threads)","cbcb03",23,2.875,0.126
10,"medium","shallow",2,"sh",1000,"ASTRID-ws","cbcb05",23,2.875,0.052
10,"medium","shallow",2,"sh",1000,"TQMC-wh_n2","cbcb05",23,2.875,0.326
10,"medium","shallow",2,"sh",1000,"ASTER-wh (1 thread)","cbcb05",23,2.875,0.483
10,"medium","shallow",2,"sh",1000,"ASTER-wh (16 threads)","cbcb05",23,2.875,0.105
10,"medium","shallow",3,"sh",1000,"ASTRID-ws","cbcb06",23,2.875,0.06
10,"medium","shallow",3,"sh",1000,"TQMC-wh_n2","cbcb06",23,2.875,0.327
10,"medium","shallow",3,"sh",1000,"ASTER-wh (1 thread)","cbcb06",23,2.875,0.505
10,"medium","shallow",3,"sh",1000,"ASTER-wh (16 threads)","cbcb06",23,2.875,0.096
10,"medium","shallow",4,"sh",1000,"ASTRID-ws","cbcb07",23,2.875,0.051
10,"medium","shallow",4,"sh",1000,"TQMC-wh_n2","cbcb07",23,2.875,0.307
10,"medium","shallow",4,"sh",1000,"ASTER-wh (1 thread)","cbcb07",23,2.875,1.213
10,"medium","shallow",4,"sh",1000,"ASTER-wh (16 threads)","cbcb07",23,2.875,0.095
10,"medium","shallow",5,"sh",1000,"ASTRID-ws","cbcb08",23,2.875,0.049
10,"medium","shallow",5,"sh",1000,"TQMC-wh_n2","cbcb08",23,2.875,0.311
10,"medium","shallow",5,"sh",1000,"ASTER-wh (1 thread)","cbcb08",23,2.875,0.705
10,"medium","shallow",5,"sh",1000,"ASTER-wh (16 threads)","cbcb08",23,2.875,0.124
