NTAX,ILSL,SPEC,REPL,SUPP,NGEN,MTHD,SEFN,SEFNR
10,medium,shallow,1,none,50,CA-ML,1,0.125
10,medium,shallow,1,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,1,none,50,TQMC-n2,0,0.0
10,medium,shallow,1,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,1,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,1,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,1,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,1,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,1,sh,50,ASTER-wh,0,0.0
10,medium,shallow,1,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,1,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,2,none,50,CA-ML,0,0.0
10,medium,shallow,2,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,2,none,50,TQMC-n2,0,0.0
10,medium,shallow,2,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,2,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,2,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,2,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,2,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,2,sh,50,ASTER-wh,0,0.0
10,medium,shallow,2,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,2,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,3,none,50,CA-ML,0,0.0
10,medium,shallow,3,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,3,none,50,TQMC-n2,0,0.0
10,medium,shallow,3,abayes,50,TQMC-ws_n2,1,0.125
10,medium,shallow,3,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,3,abayes,50,TQMC-wh_n2,1,0.125
10,medium,shallow,3,sh,50,TQMC-wh_n2,1,0.125
10,medium,shallow,3,abayes,50,ASTER-wh,1,0.125
10,medium,shallow,3,sh,50,ASTER-wh,1,0.125
10,medium,shallow,3,abayes,50,ASTRID-ws,1,0.125
10,medium,shallow,3,sh,50,ASTRID-ws,1,0.125
10,medium,shallow,4,none,50,CA-ML,0,0.0
10,medium,shallow,4,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,4,none,50,TQMC-n2,0,0.0
10,medium,shallow,4,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,4,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,4,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,4,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,4,abayes,50,ASTER-wh,0,0.0
10,medium,shallow,4,sh,50,ASTER-wh,0,0.0
10,medium,shallow,4,abayes,50,ASTRID-ws,0,0.0
10,medium,shallow,4,sh,50,ASTRID-ws,0,0.0
10,medium,shallow,5,none,50,CA-ML,1,0.125
10,medium,shallow,5,none,50,TQMC-n2-origstudy,NA,NA
10,medium,shallow,5,none,50,TQMC-n2,0,0.0
10,medium,shallow,5,abayes,50,TQMC-ws_n2,0,0.0
10,medium,shallow,5,sh,50,TQMC-ws_n2,0,0.0
10,medium,shallow,5,abayes,50,TQMC-wh_n2,0,0.0
10,medium,shallow,5,sh,50,TQMC-wh_n2,0,0.0
10,medium,shallow,5,abayes,50,ASTER-wh,1,0.125
10,medium,shallow,5,sh,50,ASTER-wh,1,0.125
10,medium,shallow,5,abayes,50,ASTRID-ws,1,0.125
