"NTAX","ILSL","SPEC","REPL","SUPP","NGEN","MTHD","NODE","SECS"
10,"medium","shallow",1,"abayes",50,"ASTRID-ws","cbcb21",0.029
10,"medium","shallow",1,"abayes",50,"ASTEROID","cbcb21",0.026
10,"medium","shallow",1,"abayes",50,"TQMC-wh_n2","cbcb21",0.15
10,"medium","shallow",1,"abayes",50,"ASTER-wh (16 threads)","cbcb21",0.077
10,"medium","shallow",1,"abayes",50,"ASTER-wh (1 thread)","cbcb21",0.047
10,"medium","shallow",1,"sh",50,"TQMC-n2","cbcb11",0.14
10,"medium","shallow",1,"abayes",50,"TQMC-n2","cbcb21",0.143
10,"medium","shallow",2,"abayes",50,"ASTRID-ws","cbcb21",0.029
10,"medium","shallow",2,"abayes",50,"ASTEROID","cbcb21",0.022
10,"medium","shallow",2,"abayes",50,"TQMC-wh_n2","cbcb21",0.141
10,"medium","shallow",2,"abayes",50,"ASTER-wh (16 threads)","cbcb21",0.039
10,"medium","shallow",2,"abayes",50,"ASTER-wh (1 thread)","cbcb21",0.03
10,"medium","shallow",2,"sh",50,"TQMC-n2","cbcb11",0.136
10,"medium","shallow",2,"abayes",50,"TQMC-n2","cbcb21",0.137
10,"medium","shallow",3,"abayes",50,"ASTRID-ws","cbcb21",0.026
10,"medium","shallow",3,"abayes",50,"ASTEROID","cbcb21",0.022
10,"medium","shallow",3,"abayes",50,"TQMC-wh_n2","cbcb21",0.144
10,"medium","shallow",3,"abayes",50,"ASTER-wh (16 threads)","cbcb21",0.04
10,"medium","shallow",3,"abayes",50,"ASTER-wh (1 thread)","cbcb21",0.052
10,"medium","shallow",3,"sh",50,"TQMC-n2","cbcb11",0.142
10,"medium","shallow",3,"abayes",50,"TQMC-n2","cbcb21",0.142
10,"medium","shallow",4,"abayes",50,"ASTRID-ws","cbcb21",0.032
10,"medium","shallow",4,"abayes",50,"ASTEROID","cbcb21",0.022
10,"medium","shallow",4,"abayes",50,"TQMC-wh_n2","cbcb21",0.119
10,"medium","shallow",4,"abayes",50,"ASTER-wh (16 threads)","cbcb21",0.069
10,"medium","shallow",4,"abayes",50,"ASTER-wh (1 thread)","cbcb21",0.03
10,"medium","shallow",4,"sh",50,"TQMC-n2","cbcb11",0.129
10,"medium","shallow",4,"abayes",50,"TQMC-n2","cbcb21",0.124
10,"medium","shallow",5,"abayes",50,"ASTRID-ws","cbcb21",0.031
10,"medium","shallow",5,"abayes",50,"ASTEROID","cbcb21",0.024
10,"medium","shallow",5,"abayes",50,"TQMC-wh_n2","cbcb21",0.126
10,"medium","shallow",5,"abayes",50,"ASTER-wh (16 threads)","cbcb21",0.045
10,"medium","shallow",5,"abayes",50,"ASTER-wh (1 thread)","cbcb21",0.056
10,"medium","shallow",5,"sh",50,"TQMC-n2","cbcb11",0.149
10,"medium","shallow",5,"abayes",50,"TQMC-n2","cbcb21",0.155
10,"medium","shallow",6,"abayes",50,"ASTRID-ws","cbcb21",0.025
10,"medium","shallow",6,"abayes",50,"ASTEROID","cbcb21",0.021
10,"medium","shallow",6,"abayes",50,"TQMC-wh_n2","cbcb21",0.133
10,"medium","shallow",6,"abayes",50,"ASTER-wh (16 threads)","cbcb21",0.053
10,"medium","shallow",6,"abayes",50,"ASTER-wh (1 thread)","cbcb21",0.029
10,"medium","shallow",6,"sh",50,"TQMC-n2","cbcb11",0.124
10,"medium","shallow",6,"abayes",50,"TQMC-n2","cbcb21",0.123
10,"medium","shallow",7,"abayes",50,"ASTRID-ws","cbcb21",0.039
10,"medium","shallow",7,"abayes",50,"ASTEROID","cbcb21",0.023
10,"medium","shallow",7,"abayes",50,"TQMC-wh_n2","cbcb21",0.117
10,"medium","shallow",7,"abayes",50,"ASTER-wh (16 threads)","cbcb21",0.05
10,"medium","shallow",7,"abayes",50,"ASTER-wh (1 thread)","cbcb21",0.029
10,"medium","shallow",7,"sh",50,"TQMC-n2","cbcb11",0.142
10,"medium","shallow",7,"abayes",50,"TQMC-n2","cbcb21",0.138
10,"medium","shallow",8,"abayes",50,"ASTRID-ws","cbcb16",0.021
10,"medium","shallow",8,"abayes",50,"ASTEROID","cbcb16",0.023
10,"medium","shallow",8,"abayes",50,"TQMC-wh_n2","cbcb16",0.16
10,"medium","shallow",8,"abayes",50,"ASTER-wh (16 threads)","cbcb16",0.058
10,"medium","shallow",8,"abayes",50,"ASTER-wh (1 thread)","cbcb16",0.039
10,"medium","shallow",8,"sh",50,"TQMC-n2","cbcb11",0.149
10,"medium","shallow",8,"abayes",50,"TQMC-n2","cbcb16",0.151
10,"medium","shallow",9,"abayes",50,"ASTRID-ws","cbcb15",0.03
10,"medium","shallow",9,"abayes",50,"ASTEROID","cbcb15",0.025
10,"medium","shallow",9,"abayes",50,"TQMC-wh_n2","cbcb15",0.131
10,"medium","shallow",9,"abayes",50,"ASTER-wh (16 threads)","cbcb15",0.039
10,"medium","shallow",9,"abayes",50,"ASTER-wh (1 thread)","cbcb15",0.029
10,"medium","shallow",9,"sh",50,"TQMC-n2","cbcb11",0.152
10,"medium","shallow",9,"abayes",50,"TQMC-n2","cbcb15",0.155
10,"medium","shallow",10,"abayes",50,"ASTRID-ws","cbcb21",0.021
10,"medium","shallow",10,"abayes",50,"ASTEROID","cbcb21",0.022
10,"medium","shallow",10,"abayes",50,"TQMC-wh_n2","cbcb21",0.113
