NTAX,NGEN,NBPS,BLSC,PSIZ,MISS,REPL,MTHD,SEFN,SEFNR,SEFP,SEFPR,NODE,SECS,QSCR,AVG_LPP,MED_LPP,AVG_QQS,MED_QQS
50,1000,100,0.05,50000000,0.6,1,asteroid,20,0.425531914893617,20,0.425531914893617,cbcb04,0.417,NA,NA,NA,NA,NA
50,1000,100,0.05,50000000,0.6,1,aster_v1.16.3.4,24,0.5106382978723404,24,0.5106382978723404,cbcb16,2.572,381105.0,0.7695964255319149,0.807483,0.5604392127659573,0.52381
50,1000,100,0.05,50000000,0.6,1,wastrid_vanilla,23,0.48936170212765956,23,0.48936170212765956,cbcb04,0.077,NA,NA,NA,NA,NA
50,1000,100,0.05,50000000,0.6,1,wtreeqmc_wf_n0,25,0.5319148936170213,24,0.5217391304347826,cbcb19,2.2,NA,NA,NA,NA,NA
50,1000,100,0.05,50000000,0.6,1,wtreeqmc_wf_n0_refined,25,0.5319148936170213,25,0.5319148936170213,cbcb19,2.2,NA,NA,NA,NA,NA
50,1000,100,0.05,50000000,0.6,1,wtreeqmc_wf_n1,23,0.48936170212765956,23,0.48936170212765956,cbcb19,1.706,NA,NA,NA,NA,NA
50,1000,100,0.05,50000000,0.6,1,wtreeqmc_wf_n1_refined,23,0.48936170212765956,23,0.48936170212765956,cbcb19,1.706,NA,NA,NA,NA,NA
50,1000,100,0.05,50000000,0.6,1,wtreeqmc_wf_n1_shared,25,0.5319148936170213,25,0.5319148936170213,cbcb19,1.672,NA,NA,NA,NA,NA
50,1000,100,0.05,50000000,0.6,1,wtreeqmc_wf_n1_shared_refined,25,0.5319148936170213,25,0.5319148936170213,cbcb19,1.672,NA,NA,NA,NA,NA
50,1000,100,0.05,50000000,0.6,1,wtreeqmc_wf_n2,24,0.5106382978723404,24,0.5106382978723404,cbcb19,1.668,NA,NA,NA,NA,NA
50,1000,100,0.05,50000000,0.6,1,wtreeqmc_wf_n2_refined,24,0.5106382978723404,24,0.5106382978723404,cbcb19,1.668,380897.0,0.7405689999999999,0.699559,0.5440136808510637,0.50449
50,1000,100,0.05,50000000,0.6,1,wtreeqmc_wf_n2_shared,27,0.574468085106383,26,0.5652173913043478,cbcb19,2.106,NA,NA,NA,NA,NA
50,1000,100,0.05,50000000,0.6,1,wtreeqmc_wf_n2_shared_refined,27,0.574468085106383,27,0.574468085106383,cbcb19,2.106,NA,NA,NA,NA,NA
50,1000,100,0.05,50000000,0.6,1,wtreeqmc_wn_n2,24,0.5106382978723404,24,0.5106382978723404,cbcb19,2.165,NA,NA,NA,NA,NA
50,1000,100,0.05,50000000,0.6,1,wtreeqmc_wn_n2_refined,24,0.5106382978723404,24,0.5106382978723404,cbcb19,2.165,NA,NA,NA,NA,NA
50,1000,100,0.05,50000000,0.6,2,asteroid,26,0.5531914893617021,26,0.5531914893617021,cbcb09,0.538,NA,NA,NA,NA,NA
50,1000,100,0.05,50000000,0.6,2,aster_v1.16.3.4,27,0.574468085106383,27,0.574468085106383,cbcb17,4.448,232723.0,0.6952100212765958,0.694194,0.5215890638297872,0.517162
