NTAX,NGEN,NBPS,BLSC,PSIZ,MISS,REPL,MTHD,SEFN,SEFNR,SEFP,SEFPR,NODE,SECS,QSCR,AVG_LPP,MED_LPP,AVG_QQS,MED_QQS
50,250,100,1.0,50000000,0.6,1,asteroid,14,0.2978723404255319,14,0.2978723404255319,cbcb09,0.099,NA,NA,NA,NA,NA
50,250,100,1.0,50000000,0.6,1,aster_v1.16.3.4,17,0.3617021276595745,17,0.3617021276595745,cbcb07,0.637,133516.0,0.7562963829787234,0.866667,0.6978327872340426,0.692628
50,250,100,1.0,50000000,0.6,1,wastrid_vanilla,22,0.46808510638297873,22,0.46808510638297873,cbcb09,0.052,NA,NA,NA,NA,NA
50,250,100,1.0,50000000,0.6,1,wtreeqmc_wf_n0,19,0.40425531914893614,16,0.36363636363636365,cbcb19,3.058,NA,NA,NA,NA,NA
50,250,100,1.0,50000000,0.6,1,wtreeqmc_wf_n0_refined,19,0.40425531914893614,19,0.40425531914893614,cbcb19,3.058,NA,NA,NA,NA,NA
50,250,100,1.0,50000000,0.6,1,wtreeqmc_wf_n1,17,0.3617021276595745,14,0.3181818181818182,cbcb19,2.85,NA,NA,NA,NA,NA
50,250,100,1.0,50000000,0.6,1,wtreeqmc_wf_n1_refined,16,0.3404255319148936,16,0.3404255319148936,cbcb19,2.85,NA,NA,NA,NA,NA
50,250,100,1.0,50000000,0.6,1,wtreeqmc_wf_n1_shared,17,0.3617021276595745,15,0.3333333333333333,cbcb19,1.824,NA,NA,NA,NA,NA
50,250,100,1.0,50000000,0.6,1,wtreeqmc_wf_n1_shared_refined,16,0.3404255319148936,16,0.3404255319148936,cbcb19,1.824,NA,NA,NA,NA,NA
50,250,100,1.0,50000000,0.6,1,wtreeqmc_wf_n2,15,0.3191489361702128,12,0.2727272727272727,cbcb19,2.848,NA,NA,NA,NA,NA
50,250,100,1.0,50000000,0.6,1,wtreeqmc_wf_n2_refined,14,0.2978723404255319,14,0.2978723404255319,cbcb19,2.848,133334.0,0.7566907234042554,0.861265,0.7039975744680852,0.75
50,250,100,1.0,50000000,0.6,1,wtreeqmc_wf_n2_shared,25,0.5319148936170213,22,0.5,cbcb19,2.818,NA,NA,NA,NA,NA
50,250,100,1.0,50000000,0.6,1,wtreeqmc_wf_n2_shared_refined,25,0.5319148936170213,25,0.5319148936170213,cbcb19,2.818,NA,NA,NA,NA,NA
50,250,100,1.0,50000000,0.6,1,wtreeqmc_wn_n2,15,0.3191489361702128,12,0.2727272727272727,cbcb19,2.972,NA,NA,NA,NA,NA
