NTAX,NGEN,NBPS,BLSC,PSIZ,MISS,REPL,MTHD,SEFN,SEFNR,SEFP,SEFPR,NODE,SECS,QSCR,AVG_LPP,MED_LPP,AVG_QQS,MED_QQS
25,1000,100,1.0,50000000,0.6,1,asteroid,3,0.13636363636363635,3,0.13636363636363635,cbcb04,0.085,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,1,aster_v1.16.3.4,2,0.09090909090909091,2,0.09090909090909091,cbcb18,0.289,14144.0,0.8415863181818182,0.98636,0.717897181818182,0.7433865
25,1000,100,1.0,50000000,0.6,1,wastrid_vanilla,7,0.3181818181818182,7,0.3181818181818182,cbcb04,0.017,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,1,wtreeqmc_wf_n0,2,0.09090909090909091,2,0.09090909090909091,cbcb18,0.511,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,1,wtreeqmc_wf_n0_refined,2,0.09090909090909091,2,0.09090909090909091,cbcb18,0.511,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,1,wtreeqmc_wf_n1,1,0.045454545454545456,1,0.045454545454545456,cbcb18,0.506,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,1,wtreeqmc_wf_n1_refined,1,0.045454545454545456,1,0.045454545454545456,cbcb18,0.506,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,1,wtreeqmc_wf_n1_shared,3,0.13636363636363635,3,0.13636363636363635,cbcb18,0.525,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,1,wtreeqmc_wf_n1_shared_refined,3,0.13636363636363635,3,0.13636363636363635,cbcb18,0.525,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,1,wtreeqmc_wf_n2,1,0.045454545454545456,1,0.045454545454545456,cbcb18,0.507,NA,NA,NA,NA,NA
25,1000,100,1.0,50000000,0.6,1,wtreeqmc_wf_n2_refined,1,0.045454545454545456,1,0.045454545454545456,cbcb18,0.507,14129.0,0.8445204090909091,0.966942,0.7148790909090909,0.7433865
25,1000,100,1.0,50000000,0.6,1,wtreeqmc_wf_n2_shared,3,0.13636363636363635,3,0.13636363636363635,cbcb18,0.515,NA,NA,NA,NA,NA
