NTAX,NGEN,NBPS,BLSC,PSIZ,MISS,REPL,MTHD,SEFN,SEFNR,SEFP,SEFPR,NODE,SECS,QSCR,AVG_LPP,MED_LPP,AVG_QQS,MED_QQS
50,1000,100,1.0,10,0.6,1,asteroid,8,0.1702127659574468,8,0.1702127659574468,cbcb09,0.307,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,1,aster_v1.16.3.4,8,0.1702127659574468,8,0.1702127659574468,cbcb05,2.697,604908.0,0.8689562978723405,0.999453,0.6728606595744682,0.71069
50,1000,100,1.0,10,0.6,1,wastrid_vanilla,8,0.1702127659574468,8,0.1702127659574468,cbcb09,0.125,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,1,wtreeqmc_wf_n0,10,0.2127659574468085,10,0.2127659574468085,cbcb19,1.836,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,1,wtreeqmc_wf_n0_refined,10,0.2127659574468085,10,0.2127659574468085,cbcb19,1.836,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,1,wtreeqmc_wf_n1,8,0.1702127659574468,8,0.1702127659574468,cbcb19,1.733,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,1,wtreeqmc_wf_n1_refined,8,0.1702127659574468,8,0.1702127659574468,cbcb19,1.733,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,1,wtreeqmc_wf_n1_shared,7,0.14893617021276595,7,0.14893617021276595,cbcb19,1.509,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,1,wtreeqmc_wf_n1_shared_refined,7,0.14893617021276595,7,0.14893617021276595,cbcb19,1.509,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,1,wtreeqmc_wf_n2,7,0.14893617021276595,7,0.14893617021276595,cbcb19,1.698,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,1,wtreeqmc_wf_n2_refined,7,0.14893617021276595,7,0.14893617021276595,cbcb19,1.698,604799.0,0.8883868085106384,0.999692,0.6768758936170214,0.730113
50,1000,100,1.0,10,0.6,1,wtreeqmc_wf_n2_shared,7,0.14893617021276595,7,0.14893617021276595,cbcb19,1.512,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,1,wtreeqmc_wf_n2_shared_refined,7,0.14893617021276595,7,0.14893617021276595,cbcb19,1.512,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,1,wtreeqmc_wn_n2,7,0.14893617021276595,7,0.14893617021276595,cbcb19,2.276,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,1,wtreeqmc_wn_n2_refined,7,0.14893617021276595,7,0.14893617021276595,cbcb19,2.276,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,2,asteroid,7,0.14893617021276595,7,0.14893617021276595,cbcb17,0.344,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,2,aster_v1.16.3.4,9,0.19148936170212766,9,0.19148936170212766,cbcb06,2.554,432663.0,0.8657632127659575,0.996251,0.6708265531914893,0.692308
50,1000,100,1.0,10,0.6,2,wastrid_vanilla,6,0.1276595744680851,6,0.1276595744680851,cbcb17,0.08,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,2,wtreeqmc_wf_n0,9,0.19148936170212766,8,0.17391304347826086,cbcb20,2.07,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,2,wtreeqmc_wf_n0_refined,9,0.19148936170212766,9,0.19148936170212766,cbcb20,2.07,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,2,wtreeqmc_wf_n1,7,0.14893617021276595,6,0.13043478260869565,cbcb20,2.06,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,2,wtreeqmc_wf_n1_refined,7,0.14893617021276595,7,0.14893617021276595,cbcb20,2.06,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,2,wtreeqmc_wf_n1_shared,7,0.14893617021276595,6,0.13043478260869565,cbcb20,1.967,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,2,wtreeqmc_wf_n1_shared_refined,7,0.14893617021276595,7,0.14893617021276595,cbcb20,1.967,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,2,wtreeqmc_wf_n2,8,0.1702127659574468,7,0.15217391304347827,cbcb20,2.054,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,2,wtreeqmc_wf_n2_refined,8,0.1702127659574468,8,0.1702127659574468,cbcb20,2.054,431761.0,0.8495984680851064,0.994779,0.6664779999999999,0.666667
50,1000,100,1.0,10,0.6,2,wtreeqmc_wf_n2_shared,4,0.0851063829787234,3,0.06521739130434782,cbcb20,1.978,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,2,wtreeqmc_wf_n2_shared_refined,4,0.0851063829787234,4,0.0851063829787234,cbcb20,1.978,NA,NA,NA,NA,NA
50,1000,100,1.0,10,0.6,2,wtreeqmc_wn_n2,8,0.1702127659574468,7,0.15217391304347827,cbcb20,2.577,NA,NA,NA,NA,NA
