NBPS,NGEN,REPL,SUPP,MTHD,SEFN,SEFP,SERF,QSCR,AVG_LPP,MED_LPP,AVG_QQS,MED_QQS
200,50,1,abayes,ASTER-wh,22,22,0.22448979591836735,43491313.81,0.8860697040816325,0.9960815000000001,0.6194415204081634,0.57239
200,50,1,bs,ASTER-wh,19,19,0.19387755102040816,16273089.21,0.9003921632653061,0.99996,0.6763116020408163,0.6790075
200,50,1,abayes,ASTRID-ws,20,20,0.20408163265306123,NA,NA,NA,NA,NA
200,50,1,bs,ASTRID-ws,20,20,0.20408163265306123,NA,NA,NA,NA,NA
200,50,1,bs,ASTEROID,98,98,1.0,NA,NA,NA,NA,NA
200,50,1,abayes,TQMC-n2,34,34,0.3469387755102041,NA,NA,NA,NA,NA
200,50,1,bs,TQMC-n2,34,34,0.3469387755102041,NA,NA,NA,NA,NA
200,50,1,abayes,TQMC-wn_n2,34,34,0.3469387755102041,NA,NA,NA,NA,NA
200,50,1,bs,TQMC-wn_n2,34,34,0.3469387755102041,NA,NA,NA,NA,NA
200,50,1,abayes,TQMC-ws_n2,22,22,0.22448979591836735,NA,NA,NA,NA,NA
200,50,1,bs,TQMC-ws_n2,19,19,0.19387755102040816,NA,NA,NA,NA,NA
200,50,1,abayes,TQMC-wh_n2,23,23,0.23469387755102042,43354897.65,0.8747690204081632,0.994665,0.6166849897959183,0.5687085000000001
200,50,1,bs,TQMC-wh_n2,17,17,0.17346938775510204,16254976.1,0.8872186734693878,0.9999695,0.6729098979591838,0.680405
200,50,1,abayes,TQMC-wh_n1,22,22,0.22448979591836735,NA,NA,NA,NA,NA
200,50,1,bs,TQMC-wh_n1,19,19,0.19387755102040816,NA,NA,NA,NA,NA
200,50,1,abayes,TQMC-wh_n0,24,24,0.24489795918367346,NA,NA,NA,NA,NA
200,50,1,bs,TQMC-wh_n0,24,24,0.24489795918367346,NA,NA,NA,NA,NA
200,50,2,abayes,ASTER-wh,8,8,0.08163265306122448,61325118.14,0.9067631836734694,0.999992,0.685844642857143,0.6830959999999999
200,50,2,bs,ASTER-wh,8,8,0.08163265306122448,26401489.9,0.9205463163265307,0.9999985,0.7056010714285714,0.719114
200,50,2,abayes,ASTRID-ws,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,2,bs,ASTRID-ws,10,10,0.10204081632653061,NA,NA,NA,NA,NA
200,50,2,bs,ASTEROID,98,98,1.0,NA,NA,NA,NA,NA
200,50,2,abayes,TQMC-n2,8,8,0.08163265306122448,NA,NA,NA,NA,NA
200,50,2,bs,TQMC-n2,8,8,0.08163265306122448,NA,NA,NA,NA,NA
200,50,2,abayes,TQMC-wn_n2,8,8,0.08163265306122448,NA,NA,NA,NA,NA
200,50,2,bs,TQMC-wn_n2,8,8,0.08163265306122448,NA,NA,NA,NA,NA
200,50,2,abayes,TQMC-ws_n2,7,7,0.07142857142857142,NA,NA,NA,NA,NA
200,50,2,bs,TQMC-ws_n2,9,9,0.09183673469387756,NA,NA,NA,NA,NA
200,50,2,abayes,TQMC-wh_n2,8,8,0.08163265306122448,61301412.35,0.90564943877551,0.999992,0.6856954081632652,0.6830959999999999
200,50,2,bs,TQMC-wh_n2,9,9,0.09183673469387756,26384796.25,0.9121819897959185,0.999997,0.7041855306122449,0.722677
200,50,2,abayes,TQMC-wh_n1,8,8,0.08163265306122448,NA,NA,NA,NA,NA
200,50,2,bs,TQMC-wh_n1,8,8,0.08163265306122448,NA,NA,NA,NA,NA
200,50,2,abayes,TQMC-wh_n0,8,8,0.08163265306122448,NA,NA,NA,NA,NA
200,50,2,bs,TQMC-wh_n0,9,9,0.09183673469387756,NA,NA,NA,NA,NA
200,50,3,abayes,ASTER-wh,15,15,0.15306122448979592,59870680.22,0.8795907346938775,0.9998415,0.6537502448979591,0.6553335
200,50,3,bs,ASTER-wh,17,17,0.17346938775510204,24581148.33,0.8939622040816326,0.9997665,0.6701402959183673,0.6464235
200,50,3,abayes,ASTRID-ws,14,14,0.14285714285714285,NA,NA,NA,NA,NA
200,50,3,bs,ASTRID-ws,19,19,0.19387755102040816,NA,NA,NA,NA,NA
200,50,3,bs,ASTEROID,97,97,0.9897959183673469,NA,NA,NA,NA,NA
200,50,3,abayes,TQMC-n2,18,18,0.1836734693877551,NA,NA,NA,NA,NA
200,50,3,bs,TQMC-n2,19,19,0.19387755102040816,NA,NA,NA,NA,NA
200,50,3,abayes,TQMC-wn_n2,18,18,0.1836734693877551,NA,NA,NA,NA,NA
200,50,3,bs,TQMC-wn_n2,18,18,0.1836734693877551,NA,NA,NA,NA,NA
200,50,3,abayes,TQMC-ws_n2,14,14,0.14285714285714285,NA,NA,NA,NA,NA
200,50,3,bs,TQMC-ws_n2,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,3,abayes,TQMC-wh_n2,15,15,0.15306122448979592,59749869.78,0.8810847755102039,0.999838,0.6535153571428571,0.6553335
200,50,3,bs,TQMC-wh_n2,16,16,0.16326530612244897,24569747.0,0.8909553163265307,0.9997665,0.6694947653061226,0.6464235
200,50,3,abayes,TQMC-wh_n1,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,3,bs,TQMC-wh_n1,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,3,abayes,TQMC-wh_n0,13,13,0.1326530612244898,NA,NA,NA,NA,NA
200,50,3,bs,TQMC-wh_n0,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,4,abayes,ASTER-wh,18,18,0.1836734693877551,66127878.86,0.8465965408163265,0.9943299999999999,0.5878939081632653,0.5458025
200,50,4,bs,ASTER-wh,19,19,0.19387755102040816,29631910.68,0.8670071020408163,0.9963805,0.6250381326530612,0.5673975
200,50,4,abayes,ASTRID-ws,19,19,0.19387755102040816,NA,NA,NA,NA,NA
200,50,4,bs,ASTRID-ws,20,20,0.20408163265306123,NA,NA,NA,NA,NA
200,50,4,bs,ASTEROID,98,98,1.0,NA,NA,NA,NA,NA
200,50,4,abayes,TQMC-n2,23,23,0.23469387755102042,NA,NA,NA,NA,NA
200,50,4,bs,TQMC-n2,23,23,0.23469387755102042,NA,NA,NA,NA,NA
200,50,4,abayes,TQMC-wn_n2,23,23,0.23469387755102042,NA,NA,NA,NA,NA
200,50,4,bs,TQMC-wn_n2,23,23,0.23469387755102042,NA,NA,NA,NA,NA
200,50,4,abayes,TQMC-ws_n2,19,19,0.19387755102040816,NA,NA,NA,NA,NA
200,50,4,bs,TQMC-ws_n2,20,20,0.20408163265306123,NA,NA,NA,NA,NA
200,50,4,abayes,TQMC-wh_n2,18,18,0.1836734693877551,65947688.16,0.8276077040816328,0.9954995,0.5853495306122448,0.555491
200,50,4,bs,TQMC-wh_n2,20,20,0.20408163265306123,29526849.45,0.859491612244898,0.9963805,0.6251121020408162,0.568132
200,50,4,abayes,TQMC-wh_n1,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,4,bs,TQMC-wh_n1,18,18,0.1836734693877551,NA,NA,NA,NA,NA
200,50,4,abayes,TQMC-wh_n0,18,18,0.1836734693877551,NA,NA,NA,NA,NA
200,50,4,bs,TQMC-wh_n0,19,19,0.19387755102040816,NA,NA,NA,NA,NA
200,50,5,abayes,ASTER-wh,13,13,0.1326530612244898,57955555.9,0.8779289489795918,0.9997855,0.6504728571428571,0.6292655
200,50,5,bs,ASTER-wh,16,16,0.16326530612244897,28698607.21,0.8791906224489797,0.9999885,0.6732666020408162,0.6737755000000001
200,50,5,abayes,ASTRID-ws,13,13,0.1326530612244898,NA,NA,NA,NA,NA
200,50,5,bs,ASTRID-ws,16,16,0.16326530612244897,NA,NA,NA,NA,NA
200,50,5,bs,ASTEROID,98,98,1.0,NA,NA,NA,NA,NA
200,50,5,abayes,TQMC-n2,14,14,0.14285714285714285,NA,NA,NA,NA,NA
200,50,5,bs,TQMC-n2,15,15,0.15306122448979592,NA,NA,NA,NA,NA
200,50,5,abayes,TQMC-wn_n2,14,14,0.14285714285714285,NA,NA,NA,NA,NA
200,50,5,bs,TQMC-wn_n2,15,15,0.15306122448979592,NA,NA,NA,NA,NA
200,50,5,abayes,TQMC-ws_n2,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,5,bs,TQMC-ws_n2,13,13,0.1326530612244898,NA,NA,NA,NA,NA
200,50,5,abayes,TQMC-wh_n2,11,11,0.11224489795918367,57860816.32,0.8704657142857143,0.9996925,0.6484122346938777,0.6200495
200,50,5,bs,TQMC-wh_n2,14,14,0.14285714285714285,28634204.26,0.8746895612244898,0.9999895000000001,0.6719508673469388,0.6737755000000001
200,50,5,abayes,TQMC-wh_n1,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,5,bs,TQMC-wh_n1,16,16,0.16326530612244897,NA,NA,NA,NA,NA
200,50,5,abayes,TQMC-wh_n0,14,14,0.14285714285714285,NA,NA,NA,NA,NA
200,50,5,bs,TQMC-wh_n0,18,18,0.1836734693877551,NA,NA,NA,NA,NA
200,50,6,abayes,ASTER-wh,14,14,0.14285714285714285,65932202.18,0.8746047142857143,0.999613,0.6226339387755102,0.6127465
200,50,6,bs,ASTER-wh,12,12,0.12244897959183673,26691128.11,0.8917765102040818,0.999406,0.6466329387755102,0.6159840000000001
200,50,6,abayes,ASTRID-ws,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,6,bs,ASTRID-ws,9,9,0.09183673469387756,NA,NA,NA,NA,NA
200,50,6,bs,ASTEROID,97,97,0.9897959183673469,NA,NA,NA,NA,NA
200,50,6,abayes,TQMC-n2,15,15,0.15306122448979592,NA,NA,NA,NA,NA
200,50,6,bs,TQMC-n2,15,15,0.15306122448979592,NA,NA,NA,NA,NA
200,50,6,abayes,TQMC-wn_n2,15,15,0.15306122448979592,NA,NA,NA,NA,NA
200,50,6,bs,TQMC-wn_n2,15,15,0.15306122448979592,NA,NA,NA,NA,NA
200,50,6,abayes,TQMC-ws_n2,13,13,0.1326530612244898,NA,NA,NA,NA,NA
200,50,6,bs,TQMC-ws_n2,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,6,abayes,TQMC-wh_n2,13,13,0.1326530612244898,65912637.71,0.8726161938775511,0.999636,0.6237159285714285,0.6127465
200,50,6,bs,TQMC-wh_n2,12,12,0.12244897959183673,26528735.66,0.8793321020408162,0.999477,0.6440964795918367,0.621839
200,50,6,abayes,TQMC-wh_n1,13,13,0.1326530612244898,NA,NA,NA,NA,NA
200,50,6,bs,TQMC-wh_n1,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,6,abayes,TQMC-wh_n0,14,14,0.14285714285714285,NA,NA,NA,NA,NA
200,50,6,bs,TQMC-wh_n0,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,7,abayes,ASTER-wh,11,11,0.11224489795918367,78077632.98,0.8857366938775512,0.9999515,0.6560088469387755,0.663405
200,50,7,bs,ASTER-wh,9,9,0.09183673469387756,40548103.08,0.9030138265306121,0.9999675,0.6645861632653062,0.6667335000000001
200,50,7,abayes,ASTRID-ws,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,7,bs,ASTRID-ws,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,7,bs,ASTEROID,98,98,1.0,NA,NA,NA,NA,NA
200,50,7,abayes,TQMC-n2,15,15,0.15306122448979592,NA,NA,NA,NA,NA
200,50,7,bs,TQMC-n2,13,13,0.1326530612244898,NA,NA,NA,NA,NA
200,50,7,abayes,TQMC-wn_n2,15,15,0.15306122448979592,NA,NA,NA,NA,NA
200,50,7,bs,TQMC-wn_n2,13,13,0.1326530612244898,NA,NA,NA,NA,NA
200,50,7,abayes,TQMC-ws_n2,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,7,bs,TQMC-ws_n2,10,10,0.10204081632653061,NA,NA,NA,NA,NA
200,50,7,abayes,TQMC-wh_n2,11,11,0.11224489795918367,77916619.18,0.8800907448979592,0.9999515,0.6549984693877551,0.663405
200,50,7,bs,TQMC-wh_n2,9,9,0.09183673469387756,40539847.29,0.9043185510204081,0.9999675,0.6652968367346939,0.6667335000000001
200,50,7,abayes,TQMC-wh_n1,11,11,0.11224489795918367,NA,NA,NA,NA,NA
200,50,7,bs,TQMC-wh_n1,9,9,0.09183673469387756,NA,NA,NA,NA,NA
200,50,7,abayes,TQMC-wh_n0,12,12,0.12244897959183673,NA,NA,NA,NA,NA
200,50,7,bs,TQMC-wh_n0,9,9,0.09183673469387756,NA,NA,NA,NA,NA
200,50,8,abayes,ASTER-wh,16,16,0.16326530612244897,60666685.85,0.8723033673469387,0.9971835,0.6311474489795919,0.6091115
200,50,8,bs,ASTER-wh,24,24,0.24489795918367346,32254575.46,0.8790641122448979,0.9975164999999999,0.6299408367346939,0.585485
200,50,8,abayes,ASTRID-ws,22,22,0.22448979591836735,NA,NA,NA,NA,NA
200,50,8,bs,ASTRID-ws,23,23,0.23469387755102042,NA,NA,NA,NA,NA
200,50,8,bs,ASTEROID,98,98,1.0,NA,NA,NA,NA,NA
200,50,8,abayes,TQMC-n2,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,8,bs,TQMC-n2,24,24,0.24489795918367346,NA,NA,NA,NA,NA
200,50,8,abayes,TQMC-wn_n2,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,8,bs,TQMC-wn_n2,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,8,abayes,TQMC-ws_n2,17,17,0.17346938775510204,NA,NA,NA,NA,NA
200,50,8,bs,TQMC-ws_n2,23,23,0.23469387755102042,NA,NA,NA,NA,NA
200,50,8,abayes,TQMC-wh_n2,18,18,0.1836734693877551,60284350.32,0.8648570714285713,0.997287,0.6300347448979592,0.608068
200,50,8,bs,TQMC-wh_n2,22,22,0.22448979591836735,32118648.1,0.8605570204081631,0.9978505,0.6267102040816327,0.588864
200,50,8,abayes,TQMC-wh_n1,16,16,0.16326530612244897,NA,NA,NA,NA,NA
200,50,8,bs,TQMC-wh_n1,23,23,0.23469387755102042,NA,NA,NA,NA,NA
200,50,8,abayes,TQMC-wh_n0,15,15,0.15306122448979592,NA,NA,NA,NA,NA
200,50,8,bs,TQMC-wh_n0,19,19,0.19387755102040816,NA,NA,NA,NA,NA
200,50,9,abayes,ASTER-wh,6,6,0.061224489795918366,30783065.41,0.9278577551020408,1.0,0.7212060102040817,0.7590645
200,50,9,bs,ASTER-wh,4,4,0.04081632653061224,16522808.7,0.9330852551020409,1.0,0.742219142857143,0.792362
