NBPS,NGEN,REPL,SUPP,MTHD,SEFN,SEFP,SERF
200,50,1,bs,ASTER-wh,19,19,0.19387755102040816
200,50,1,abayes,ASTER-wh,22,22,0.22448979591836735
200,50,1,bs,ASTRID-ws,20,20,0.20408163265306123
200,50,1,abayes,ASTRID-ws,20,20,0.20408163265306123
200,50,1,bs,TQMC-wh_n2,17,17,0.17346938775510204
200,50,1,abayes,TQMC-wh_n2,23,23,0.23469387755102042
200,50,1,none_keeppoly,TQMC-n2,34,34,0.3469387755102041
200,50,1,none_refinepoly,TQMC-n2,34,34,0.3469387755102041
200,50,1,bs,TQMC-ws_n2,19,19,0.19387755102040816
200,50,1,abayes,TQMC-ws_n2,22,22,0.22448979591836735
200,50,1,bs,TQMC-wh_n1,19,19,0.19387755102040816
200,50,1,abayes,TQMC-wh_n1,22,22,0.22448979591836735
200,50,1,bs,TQMC-wh_n0,24,24,0.24489795918367346
200,50,1,abayes,TQMC-wh_n0,24,24,0.24489795918367346
200,50,2,bs,ASTER-wh,8,8,0.08163265306122448
200,50,2,abayes,ASTER-wh,8,8,0.08163265306122448
200,50,2,bs,ASTRID-ws,10,10,0.10204081632653061
200,50,2,abayes,ASTRID-ws,12,12,0.12244897959183673
200,50,2,bs,TQMC-wh_n2,9,9,0.09183673469387756
200,50,2,abayes,TQMC-wh_n2,8,8,0.08163265306122448
200,50,2,none_keeppoly,TQMC-n2,8,8,0.08163265306122448
200,50,2,none_refinepoly,TQMC-n2,8,8,0.08163265306122448
200,50,2,bs,TQMC-ws_n2,9,9,0.09183673469387756
200,50,2,abayes,TQMC-ws_n2,7,7,0.07142857142857142
200,50,2,bs,TQMC-wh_n1,8,8,0.08163265306122448
200,50,2,abayes,TQMC-wh_n1,8,8,0.08163265306122448
200,50,2,bs,TQMC-wh_n0,9,9,0.09183673469387756
200,50,2,abayes,TQMC-wh_n0,8,8,0.08163265306122448
200,50,3,bs,ASTER-wh,17,17,0.17346938775510204
200,50,3,abayes,ASTER-wh,15,15,0.15306122448979592
200,50,3,bs,ASTRID-ws,19,19,0.19387755102040816
200,50,3,abayes,ASTRID-ws,14,14,0.14285714285714285
200,50,3,bs,TQMC-wh_n2,16,16,0.16326530612244897
200,50,3,abayes,TQMC-wh_n2,15,15,0.15306122448979592
200,50,3,none_keeppoly,TQMC-n2,18,18,0.1836734693877551
200,50,3,none_refinepoly,TQMC-n2,18,18,0.1836734693877551
200,50,3,bs,TQMC-ws_n2,17,17,0.17346938775510204
200,50,3,abayes,TQMC-ws_n2,14,14,0.14285714285714285
200,50,3,bs,TQMC-wh_n1,17,17,0.17346938775510204
200,50,3,abayes,TQMC-wh_n1,17,17,0.17346938775510204
200,50,3,bs,TQMC-wh_n0,17,17,0.17346938775510204
200,50,3,abayes,TQMC-wh_n0,13,13,0.1326530612244898
200,50,4,bs,ASTER-wh,19,19,0.19387755102040816
200,50,4,abayes,ASTER-wh,18,18,0.1836734693877551
200,50,4,bs,ASTRID-ws,20,20,0.20408163265306123
200,50,4,abayes,ASTRID-ws,19,19,0.19387755102040816
