NBPS,NGEN,REPL,SUPP,MTHD,SEFN,SEFP,SERF,QSWN,QSWH,DIFF_QSWN,DIFF_QSWH
200,50,1,abayes,ASTER-wh,22,22,0.22448979591836735,101622219.0,43491313.81,0.014315753112552364,0.004293206210745317
200,50,1,abayes,ASTRID-ws,20,20,0.20408163265306123,101389441.0,43360449.15,0.011992340037130013,0.0012713041926723672
200,50,1,abayes,TQMC-n2,34,34,0.3469387755102041,101660923.0,42431256.29,0.014702067023966444,-0.020185441874699
200,50,1,abayes,TQMC-wn_n2,34,34,0.3469387755102041,NA,NA,NA,NA
200,50,1,abayes,TQMC-ws_n2,22,22,0.22448979591836735,NA,NA,NA,NA
200,50,1,abayes,TQMC-wh_n2,23,23,0.23469387755102042,100467515.0,43354897.65,0.002790375405713699,0.0011431100029397725
200,50,1,abayes,TQMC-wh_n1,22,22,0.22448979591836735,NA,NA,NA,NA
200,50,1,abayes,TQMC-wh_n0,24,24,0.24489795918367346,100890933.0,43393935.57,0.007016612067121483,0.0020445662802064716
200,50,1,bs,ASTER-wh,19,19,0.19387755102040816,NA,NA,NA,NA
200,50,1,bs,ASTRID-ws,20,20,0.20408163265306123,NA,NA,NA,NA
200,50,1,bs,TQMC-n2,34,34,0.3469387755102041,NA,NA,NA,NA
200,50,1,bs,TQMC-wn_n2,34,34,0.3469387755102041,NA,NA,NA,NA
200,50,1,bs,TQMC-ws_n2,19,19,0.19387755102040816,NA,NA,NA,NA
200,50,1,bs,TQMC-wh_n2,17,17,0.17346938775510204,NA,NA,NA,NA
200,50,1,bs,TQMC-wh_n1,19,19,0.19387755102040816,NA,NA,NA,NA
200,50,1,bs,TQMC-wh_n0,24,24,0.24489795918367346,NA,NA,NA,NA
200,50,2,abayes,ASTER-wh,8,8,0.08163265306122448,119471852.0,61325118.14,0.0012085968385880913,0.0018001121632031788
200,50,2,abayes,ASTRID-ws,12,12,0.12244897959183673,119081308.0,61234204.2,-0.0020642745842448748,0.00031495244314729616
200,50,2,abayes,TQMC-n2,8,8,0.08163265306122448,119523251.0,61277288.23,0.0016393352912648488,0.0010187682268837797
200,50,2,abayes,TQMC-wn_n2,8,8,0.08163265306122448,NA,NA,NA,NA
200,50,2,abayes,TQMC-ws_n2,7,7,0.07142857142857142,NA,NA,NA,NA
200,50,2,abayes,TQMC-wh_n2,8,8,0.08163265306122448,119537525.0,61301412.35,0.0017589555304428103,0.0014128570905476198
200,50,2,abayes,TQMC-wh_n1,8,8,0.08163265306122448,NA,NA,NA,NA
200,50,2,abayes,TQMC-wh_n0,8,8,0.08163265306122448,119471852.0,61325118.14,0.0012085968385880913,0.0018001121632031788
200,50,2,bs,ASTER-wh,8,8,0.08163265306122448,NA,NA,NA,NA
200,50,2,bs,ASTRID-ws,10,10,0.10204081632653061,NA,NA,NA,NA
200,50,2,bs,TQMC-n2,8,8,0.08163265306122448,NA,NA,NA,NA
200,50,2,bs,TQMC-wn_n2,8,8,0.08163265306122448,NA,NA,NA,NA
200,50,2,bs,TQMC-ws_n2,9,9,0.09183673469387756,NA,NA,NA,NA
200,50,2,bs,TQMC-wh_n2,9,9,0.09183673469387756,NA,NA,NA,NA
200,50,2,bs,TQMC-wh_n1,8,8,0.08163265306122448,NA,NA,NA,NA
200,50,2,bs,TQMC-wh_n0,9,9,0.09183673469387756,NA,NA,NA,NA
200,50,3,abayes,ASTER-wh,15,15,0.15306122448979592,105474894.0,59870680.22,0.00020980956886964248,0.0037563923085463828
200,50,3,abayes,ASTRID-ws,14,14,0.14285714285714285,104973492.0,59585558.94,-0.004544944666175622,-0.001023782333391168
200,50,3,abayes,TQMC-n2,18,18,0.1836734693877551,105124715.0,59308943.66,-0.0031109093019643704,-0.005661350413291958
200,50,3,abayes,TQMC-wn_n2,18,18,0.1836734693877551,NA,NA,NA,NA
200,50,3,abayes,TQMC-ws_n2,14,14,0.14285714285714285,NA,NA,NA,NA
200,50,3,abayes,TQMC-wh_n2,15,15,0.15306122448979592,105573035.0,59749869.78,0.0011404726603243581,0.0017309559687217855
200,50,3,abayes,TQMC-wh_n1,17,17,0.17346938775510204,NA,NA,NA,NA
200,50,3,abayes,TQMC-wh_n0,13,13,0.1326530612244898,105546308.0,59846557.57,0.00088702270112983,0.0033519662347495506
200,50,3,bs,ASTER-wh,17,17,0.17346938775510204,NA,NA,NA,NA
200,50,3,bs,ASTRID-ws,19,19,0.19387755102040816,NA,NA,NA,NA
200,50,3,bs,TQMC-n2,19,19,0.19387755102040816,NA,NA,NA,NA
200,50,3,bs,TQMC-wn_n2,18,18,0.1836734693877551,NA,NA,NA,NA
200,50,3,bs,TQMC-ws_n2,17,17,0.17346938775510204,NA,NA,NA,NA
200,50,3,bs,TQMC-wh_n2,16,16,0.16326530612244897,NA,NA,NA,NA
200,50,3,bs,TQMC-wh_n1,17,17,0.17346938775510204,NA,NA,NA,NA
200,50,3,bs,TQMC-wh_n0,17,17,0.17346938775510204,NA,NA,NA,NA
200,50,4,abayes,ASTER-wh,18,18,0.1836734693877551,110107759.0,66127878.86,0.010243644145842808,0.011005283252252213
200,50,4,abayes,ASTRID-ws,19,19,0.19387755102040816,109830258.0,65982931.08,0.007697559982109029,0.008789228935948887
200,50,4,abayes,TQMC-n2,23,23,0.23469387755102042,109775456.0,65856826.69,0.007194749165784264,0.006861264411315971
200,50,4,abayes,TQMC-wn_n2,23,23,0.23469387755102042,NA,NA,NA,NA
200,50,4,abayes,TQMC-ws_n2,19,19,0.19387755102040816,NA,NA,NA,NA
200,50,4,abayes,TQMC-wh_n2,18,18,0.1836734693877551,109740728.0,65947688.16,0.006876118202875494,0.008250412646488394
200,50,4,abayes,TQMC-wh_n1,17,17,0.17346938775510204,NA,NA,NA,NA
200,50,4,abayes,TQMC-wh_n0,18,18,0.1836734693877551,110090583.0,66121751.5,0.01008605357284923,0.010911604255750556
200,50,4,bs,ASTER-wh,19,19,0.19387755102040816,NA,NA,NA,NA
200,50,4,bs,ASTRID-ws,20,20,0.20408163265306123,NA,NA,NA,NA
200,50,4,bs,TQMC-n2,23,23,0.23469387755102042,NA,NA,NA,NA
200,50,4,bs,TQMC-wn_n2,23,23,0.23469387755102042,NA,NA,NA,NA
200,50,4,bs,TQMC-ws_n2,20,20,0.20408163265306123,NA,NA,NA,NA
200,50,4,bs,TQMC-wh_n2,20,20,0.20408163265306123,NA,NA,NA,NA
200,50,4,bs,TQMC-wh_n1,18,18,0.1836734693877551,NA,NA,NA,NA
200,50,4,bs,TQMC-wh_n0,19,19,0.19387755102040816,NA,NA,NA,NA
200,50,5,abayes,ASTER-wh,13,13,0.1326530612244898,115194949.0,57955555.9,0.0037191253960856306,0.0031704436033355267
200,50,5,abayes,ASTRID-ws,13,13,0.1326530612244898,115297674.0,57794556.5,0.004614191091685816,0.00038365574478149705
200,50,5,abayes,TQMC-n2,14,14,0.14285714285714285,115225225.0,57794680.95,0.003982926895233756,0.00038580988789634936
200,50,5,abayes,TQMC-wn_n2,14,14,0.14285714285714285,NA,NA,NA,NA
200,50,5,abayes,TQMC-ws_n2,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,5,abayes,TQMC-wh_n2,11,11,0.11224489795918367,115295174.0,57860816.32,0.004592408037521781,0.0015305672356689041
200,50,5,abayes,TQMC-wh_n1,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,5,abayes,TQMC-wh_n0,14,14,0.14285714285714285,115160521.0,57943777.57,0.003419146600581876,0.0029665688867959745
200,50,5,bs,ASTER-wh,16,16,0.16326530612244897,NA,NA,NA,NA
200,50,5,bs,ASTRID-ws,16,16,0.16326530612244897,NA,NA,NA,NA
200,50,5,bs,TQMC-n2,15,15,0.15306122448979592,NA,NA,NA,NA
200,50,5,bs,TQMC-wn_n2,15,15,0.15306122448979592,NA,NA,NA,NA
200,50,5,bs,TQMC-ws_n2,13,13,0.1326530612244898,NA,NA,NA,NA
200,50,5,bs,TQMC-wh_n2,14,14,0.14285714285714285,NA,NA,NA,NA
200,50,5,bs,TQMC-wh_n1,16,16,0.16326530612244897,NA,NA,NA,NA
200,50,5,bs,TQMC-wh_n0,18,18,0.1836734693877551,NA,NA,NA,NA
200,50,6,abayes,ASTER-wh,14,14,0.14285714285714285,109785668.0,65932202.18,0.0023001866457196926,0.0028734906874970296
200,50,6,abayes,ASTRID-ws,12,12,0.12244897959183673,109692603.0,65895895.78,0.0014505396146501735,0.002321245731339021
200,50,6,abayes,TQMC-n2,15,15,0.15306122448979592,109716872.0,65161124.06,0.0016721060875135073,-0.008855130232611148
200,50,6,abayes,TQMC-wn_n2,15,15,0.15306122448979592,NA,NA,NA,NA
200,50,6,abayes,TQMC-ws_n2,13,13,0.1326530612244898,NA,NA,NA,NA
200,50,6,abayes,TQMC-wh_n2,13,13,0.1326530612244898,109722854.0,65912637.71,0.0017267194065900438,0.0025759018360161762
200,50,6,abayes,TQMC-wh_n1,13,13,0.1326530612244898,NA,NA,NA,NA
200,50,6,abayes,TQMC-wh_n0,14,14,0.14285714285714285,109785668.0,65932202.18,0.0023001866457196926,0.0028734906874970296
200,50,6,bs,ASTER-wh,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,6,bs,ASTRID-ws,9,9,0.09183673469387756,NA,NA,NA,NA
200,50,6,bs,TQMC-n2,15,15,0.15306122448979592,NA,NA,NA,NA
200,50,6,bs,TQMC-wn_n2,15,15,0.15306122448979592,NA,NA,NA,NA
200,50,6,bs,TQMC-ws_n2,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,6,bs,TQMC-wh_n2,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,6,bs,TQMC-wh_n1,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,6,bs,TQMC-wh_n0,12,12,0.12244897959183673,NA,NA,NA,NA
200,50,7,abayes,ASTER-wh,11,11,0.11224489795918367,120179408.0,78077632.98,0.0017547298405974315,0.004654192763087354
200,50,7,abayes,ASTRID-ws,12,12,0.12244897959183673,120175876.0,78024022.18,0.0017252888759207126,0.003964362488504403
200,50,7,abayes,TQMC-n2,15,15,0.15306122448979592,120299747.0,77897065.89,0.002757814848590545,0.0023307682800474826
200,50,7,abayes,TQMC-wn_n2,15,15,0.15306122448979592,NA,NA,NA,NA
200,50,7,abayes,TQMC-ws_n2,11,11,0.11224489795918367,NA,NA,NA,NA
