SCAL,NGEN,NBPS,REPL,MTHD,NODE,real,user,sys
0.5X,1000,500,R10,quartets,heron05,10m50.219s,29m11.737s,12m42.879s
0.5X,1000,500,R11,quartets,heron09,11m10.515s,28m32.873s,13m16.496s
0.5X,1000,500,R12,quartets,heron07,11m22.929s,28m21.699s,13m42.574s
0.5X,1000,500,R13,quartets,heron04,11m28.746s,28m49.722s,13m41.321s
0.5X,1000,500,R14,quartets,heron10,10m31.888s,28m23.704s,12m24.050s
0.5X,1000,500,R15,quartets,heron08,10m22.846s,28m53.251s,11m58.503s
0.5X,1000,500,R16,quartets,heron11,10m53.804s,28m33.070s,12m47.001s
0.5X,1000,500,R17,quartets,heron02,11m21.086s,28m55.151s,13m21.883s
0.5X,1000,500,R18,quartets,heron06,10m52.089s,28m11.127s,12m52.812s
0.5X,1000,500,R19,quartets,heron03,11m17.763s,29m28.659s,13m34.913s
0.5X,1000,500,R1,quartets,heron08,10m27.719s,28m48.737s,12m13.872s
0.5X,1000,500,R20,quartets,heron01,11m6.452s,29m4.804s,13m10.706s
0.5X,1000,500,R2,quartets,heron07,11m3.331s,29m2.844s,13m7.044s
0.5X,1000,500,R3,quartets,heron10,10m51.669s,28m26.797s,12m59.227s
0.5X,1000,500,R4,quartets,heron00,20m8.480s,54m26.583s,23m28.669s
0.5X,1000,500,R5,quartets,heron02,11m18.111s,29m11.372s,13m8.654s
0.5X,1000,500,R6,quartets,heron03,11m8.797s,29m3.736s,13m11.418s
0.5X,1000,500,R7,quartets,heron11,10m52.723s,28m52.307s,12m40.830s
0.5X,1000,500,R8,quartets,heron01,11m4.427s,29m3.335s,13m15.416s
0.5X,1000,500,R9,quartets,heron06,10m54.588s,28m49.545s,12m57.817s
0.5X,1000,true,R10,quartets,heron09,11m43.724s,29m5.865s,14m9.140s
0.5X,1000,true,R11,quartets,heron10,10m33.541s,28m28.290s,12m31.679s
0.5X,1000,true,R12,quartets,heron11,10m59.694s,28m11.195s,12m57.051s
0.5X,1000,true,R13,quartets,heron01,10m54.652s,28m34.487s,13m3.474s
0.5X,1000,true,R14,quartets,heron11,10m41.068s,28m55.977s,12m36.627s
0.5X,1000,true,R15,quartets,heron02,11m6.938s,29m3.840s,13m1.227s
0.5X,1000,true,R16,quartets,heron03,11m26.883s,28m37.531s,13m34.864s
0.5X,1000,true,R17,quartets,heron09,11m31.760s,29m19.177s,13m54.527s
0.5X,1000,true,R18,quartets,heron05,11m2.140s,28m39.215s,12m58.127s
0.5X,1000,true,R19,quartets,heron06,11m3.231s,28m34.165s,13m21.538s
0.5X,1000,true,R1,quartets,heron00,20m9.306s,54m32.293s,23m33.952s
0.5X,1000,true,R20,quartets,heron04,11m39.757s,28m50.892s,14m0.687s
0.5X,1000,true,R2,quartets,heron01,11m2.002s,28m57.851s,13m9.450s
0.5X,1000,true,R3,quartets,heron02,11m22.533s,29m22.765s,13m11.162s
0.5X,1000,true,R4,quartets,heron03,11m16.290s,28m56.188s,13m28.493s
0.5X,1000,true,R5,quartets,heron04,11m46.557s,28m45.892s,14m7.734s
0.5X,1000,true,R6,quartets,heron05,10m47.941s,28m36.130s,12m38.531s
0.5X,1000,true,R7,quartets,heron06,11m9.566s,28m30.433s,13m15.099s
0.5X,1000,true,R8,quartets,heron07,11m29.028s,28m44.840s,13m54.865s
0.5X,1000,true,R9,quartets,heron08,10m50.693s,29m9.731s,12m29.760s
