SCAL,NGEN,NBPS,REPL,MTHD,NODE,SEFN,SERF,NQSC,SECS,FRAC
0.5X,1000,true,R1,treeqmc_n0_v1.0.0,heron00,4,0.088889,0.6188881179977387,20.071,0.0
0.5X,1000,true,R1,treeqmc_n1_v1.0.0,heron00,0,0.0,0.6191405488744989,21.63,0.0
0.5X,1000,true,R1,treeqmc_n2_v1.0.0,heron00,0,0.0,0.6191405488744989,21.555,0.0
0.5X,1000,true,R1,astral_3_v5.7.7,heron00,2,0.044444,0.6188744886422037,357.254,0.0
0.5X,1000,true,R1,fastral,heron00,0,0.0,0.6191405488744989,31.782,0.0
0.5X,1000,true,R1,wqfm_v1.3,heron00,3,0.06666699999999999,0.6187616147599959,1272.7920000000001,0.9501206795768672
0.5X,1000,true,R1,wqmc_v3.0,heron00,2,0.044444,0.6187689228080995,1212.161,0.9976447023126466
0.5X,1000,true,R1,TRUE,heron00,0,0.0,0.6191405488744989,0.0,0.0
0.5X,1000,true,R2,treeqmc_n0_v1.0.0,heron01,2,0.044444,0.6143459451125501,10.229,0.0
0.5X,1000,true,R2,treeqmc_n1_v1.0.0,heron01,2,0.044444,0.6143459451125501,10.95,0.0
0.5X,1000,true,R2,treeqmc_n2_v1.0.0,heron01,2,0.044444,0.6143459451125501,10.903,0.0
0.5X,1000,true,R2,astral_3_v5.7.7,heron01,2,0.044444,0.6143459451125501,177.63400000000001,0.0
0.5X,1000,true,R2,fastral,heron01,2,0.044444,0.6143459451125501,17.048,0.0
0.5X,1000,true,R2,wqfm_v1.3,heron01,2,0.044444,0.6143459451125501,698.6139999999999,0.9475933777450781
0.5X,1000,true,R2,wqmc_v3.0,heron01,5,0.11111099999999999,0.6134677150786308,663.645,0.9975242787936321
0.5X,1000,true,R2,TRUE,heron01,0,0.0,0.6135525285229726,0.0,0.0
0.5X,1000,true,R3,treeqmc_n0_v1.0.0,heron02,1,0.022222,0.6185579299002981,10.306,0.0
0.5X,1000,true,R3,treeqmc_n1_v1.0.0,heron02,1,0.022222,0.6185579299002981,11.139,0.0
0.5X,1000,true,R3,treeqmc_n2_v1.0.0,heron02,1,0.022222,0.6185579299002981,11.131,0.0
0.5X,1000,true,R3,astral_3_v5.7.7,heron02,2,0.044444,0.6184784767190873,184.17,0.0
0.5X,1000,true,R3,fastral,heron02,1,0.022222,0.6185579299002981,18.054,0.0
0.5X,1000,true,R3,wqfm_v1.3,heron02,3,0.06666699999999999,0.6184276441566451,719.404,0.948747852388922
0.5X,1000,true,R3,wqmc_v3.0,heron02,4,0.088889,0.6181319148936171,683.972,0.9978961127063681
0.5X,1000,true,R3,TRUE,heron02,0,0.0,0.6183748432521328,0.0,0.0
0.5X,1000,true,R4,treeqmc_n0_v1.0.0,heron03,3,0.06666699999999999,0.6128247147702744,10.44,0.0
0.5X,1000,true,R4,treeqmc_n1_v1.0.0,heron03,2,0.044444,0.6127859954774386,11.12,0.0
0.5X,1000,true,R4,treeqmc_n2_v1.0.0,heron03,1,0.022222,0.6127567118922808,11.129,0.0
0.5X,1000,true,R4,astral_3_v5.7.7,heron03,2,0.044444,0.6128655925583307,179.751,0.0
0.5X,1000,true,R4,fastral,heron03,2,0.044444,0.6128655925583307,17.032,0.0
0.5X,1000,true,R4,wqfm_v1.3,heron03,2,0.044444,0.6126778394490698,723.261,0.9350566393044835
0.5X,1000,true,R4,wqmc_v3.0,heron03,4,0.088889,0.6121543889402816,677.7629999999999,0.9978266739258413
0.5X,1000,true,R4,TRUE,heron03,0,0.0,0.6127690461506835,0.0,0.0
0.5X,1000,true,R5,treeqmc_n0_v1.0.0,heron04,1,0.022222,0.6115740826395313,10.328,0.0
0.5X,1000,true,R5,treeqmc_n1_v1.0.0,heron04,2,0.044444,0.6116324288210505,11.299,0.0
0.5X,1000,true,R5,treeqmc_n2_v1.0.0,heron04,3,0.06666699999999999,0.6116031041216979,11.284,0.0
0.5X,1000,true,R5,astral_3_v5.7.7,heron04,3,0.06666699999999999,0.6115275413711584,180.553,0.0
0.5X,1000,true,R5,fastral,heron04,2,0.044444,0.6116324288210505,16.796,0.0
0.5X,1000,true,R5,wqfm_v1.3,heron04,3,0.06666699999999999,0.6116031041216979,760.496,0.92907392017841
