SCAL,NGEN,NBPS,REPL,MTHD,QS,NQS
noscale,100g,500b,R10,astral_3_v5.7.7,5672261,0.8588479067302597
noscale,100g,500b,R11,astral_3_v5.7.7,5646825,0.8549965932318874
noscale,100g,500b,R12,astral_3_v5.7.7,5613667,0.8499760769172534
noscale,100g,500b,R13,astral_3_v5.7.7,5606850,0.8489439018850784
noscale,100g,500b,R14,astral_3_v5.7.7,5651897,0.8557645544704369
noscale,100g,500b,R15,astral_3_v5.7.7,5630308,0.8524957226133697
noscale,100g,500b,R16,astral_3_v5.7.7,5633135,0.8529237641002347
noscale,100g,500b,R17,astral_3_v5.7.7,5679208,0.85989976531153
noscale,100g,500b,R18,astral_3_v5.7.7,5595050,0.8471572412748883
noscale,100g,500b,R19,astral_3_v5.7.7,5618493,0.8507067908244379
noscale,100g,500b,R1,astral_3_v5.7.7,5639316,0.8538596411537588
noscale,100g,500b,R20,astral_3_v5.7.7,5606827,0.8489404194110076
noscale,100g,500b,R2,astral_3_v5.7.7,5732442,0.8679600272541449
noscale,100g,500b,R3,astral_3_v5.7.7,5664109,0.8576135967900673
noscale,100g,500b,R4,astral_3_v5.7.7,5550501,0.8404119918237565
noscale,100g,500b,R5,astral_3_v5.7.7,5631161,0.8526248769778182
noscale,100g,500b,R6,astral_3_v5.7.7,5673183,0.8589875085169203
noscale,100g,500b,R7,astral_3_v5.7.7,5677057,0.8595740782799607
noscale,100g,500b,R8,astral_3_v5.7.7,5582731,0.8452919978802331
noscale,100g,500b,R9,astral_3_v5.7.7,5615636,0.8502742069800894
noscale,200g,1000b,R10,astral_3_v5.7.7,11585349,0.8770799454917102
noscale,200g,1000b,R11,astral_3_v5.7.7,11608030,0.8787970323264441
noscale,200g,1000b,R12,astral_3_v5.7.7,11539880,0.8736376712847301
noscale,200g,1000b,R13,astral_3_v5.7.7,11542499,0.8738359451888864
noscale,200g,1000b,R14,astral_3_v5.7.7,11598351,0.878064274358392
noscale,200g,1000b,R15,astral_3_v5.7.7,11587391,0.8772345370580664
noscale,200g,1000b,R16,astral_3_v5.7.7,11631278,0.8805570444393974
noscale,200g,1000b,R17,astral_3_v5.7.7,11593217,0.8776755999697177
noscale,200g,1000b,R18,astral_3_v5.7.7,11496058,0.870320084790673
noscale,200g,1000b,R19,astral_3_v5.7.7,11600968,0.8782623968506321
noscale,200g,1000b,R1,astral_3_v5.7.7,11567521,0.8757302596714361
noscale,200g,1000b,R20,astral_3_v5.7.7,11619701,0.8796805965629495
noscale,200g,1000b,R2,astral_3_v5.7.7,11634185,0.8807771216594746
noscale,200g,1000b,R3,astral_3_v5.7.7,11531822,0.8730276326746915
noscale,200g,1000b,R4,astral_3_v5.7.7,11500564,0.8706612158376864
noscale,200g,1000b,R5,astral_3_v5.7.7,11691463,0.8851134075251722
noscale,200g,1000b,R6,astral_3_v5.7.7,11665594,0.8831549700961465
noscale,200g,1000b,R7,astral_3_v5.7.7,11645880,0.8816625028389734
noscale,200g,1000b,R8,astral_3_v5.7.7,11537947,0.8734913316678022
noscale,200g,1000b,R9,astral_3_v5.7.7,11555131,0.8747922628510864
noscale,200g,1500b,R10,astral_3_v5.7.7,11657238,0.8825223711106064
noscale,200g,1500b,R11,astral_3_v5.7.7,11658438,0.882613218260277
noscale,200g,1500b,R12,astral_3_v5.7.7,11624795,0.8800662427133016
noscale,200g,1500b,R13,astral_3_v5.7.7,11584068,0.8769829661594367
noscale,200g,1500b,R14,astral_3_v5.7.7,11653733,0.88225702172761
noscale,200g,1500b,R15,astral_3_v5.7.7,11655869,0.8824187296540238
noscale,200g,1500b,R16,astral_3_v5.7.7,11709410,0.8864721023544553
noscale,200g,1500b,R17,astral_3_v5.7.7,11668561,0.8833795896737073
noscale,200g,1500b,R18,astral_3_v5.7.7,11581907,0.8768193655840715
noscale,200g,1500b,R19,astral_3_v5.7.7,11652604,0.8821715497009615
noscale,200g,1500b,R1,astral_3_v5.7.7,11647674,0.8817983193277311
noscale,200g,1500b,R20,astral_3_v5.7.7,11709285,0.8864626391096979
noscale,200g,1500b,R2,astral_3_v5.7.7,11729116,0.8879639639639639
noscale,200g,1500b,R3,astral_3_v5.7.7,11574976,0.8762946475887652
noscale,200g,1500b,R4,astral_3_v5.7.7,11603023,0.8784179725944432
noscale,200g,1500b,R5,astral_3_v5.7.7,11746174,0.8892553561965326
noscale,200g,1500b,R6,astral_3_v5.7.7,11721829,0.8874122946475888
noscale,200g,1500b,R7,astral_3_v5.7.7,11709786,0.8865005677946854
noscale,200g,1500b,R8,astral_3_v5.7.7,11604227,0.8785091225679461
noscale,200g,1500b,R9,astral_3_v5.7.7,11676192,0.8839573018396548
noscale,200g,250b,R10,astral_3_v5.7.7,10541020,0.798018018018018
noscale,200g,250b,R11,astral_3_v5.7.7,10582235,0.8011382390794155
noscale,200g,250b,R12,astral_3_v5.7.7,10547540,0.7985116208645621
noscale,200g,250b,R13,astral_3_v5.7.7,10520138,0.796437126201832
noscale,200g,250b,R14,astral_3_v5.7.7,10643872,0.8058045272162919
noscale,200g,250b,R15,astral_3_v5.7.7,10613915,0.8035366038307215
noscale,200g,250b,R16,astral_3_v5.7.7,10731753,0.812457642516466
noscale,200g,250b,R17,astral_3_v5.7.7,10374613,0.7854200166553108
noscale,200g,250b,R18,astral_3_v5.7.7,10451233,0.7912206071617837
noscale,200g,250b,R19,astral_3_v5.7.7,10585274,0.8013683094859565
noscale,200g,250b,R1,astral_3_v5.7.7,10539036,0.7978678173972291
noscale,200g,250b,R20,astral_3_v5.7.7,10581021,0.801046332046332
noscale,200g,250b,R2,astral_3_v5.7.7,10559440,0.799412521765463
noscale,200g,250b,R3,astral_3_v5.7.7,10566367,0.7999369369369369
noscale,200g,250b,R4,astral_3_v5.7.7,10528036,0.7970350518585813
noscale,200g,250b,R5,astral_3_v5.7.7,10617404,0.803800741918389
noscale,200g,250b,R6,astral_3_v5.7.7,10606950,0.8030093118328413
noscale,200g,250b,R7,astral_3_v5.7.7,10550495,0.7987353319706261
noscale,200g,250b,R8,astral_3_v5.7.7,10481257,0.793493602846544
noscale,200g,250b,R9,astral_3_v5.7.7,10614910,0.8036119312589901
noscale,200g,500b,R10,astral_3_v5.7.7,11303220,0.855721099250511
noscale,200g,500b,R11,astral_3_v5.7.7,11281300,0.8540616246498599
noscale,200g,500b,R12,astral_3_v5.7.7,11209150,0.8485994397759103
noscale,200g,500b,R13,astral_3_v5.7.7,11228515,0.850065485653721
noscale,200g,500b,R14,astral_3_v5.7.7,11259967,0.8524465894465895
noscale,200g,500b,R15,astral_3_v5.7.7,11304156,0.8557919600272541
noscale,200g,500b,R16,astral_3_v5.7.7,11352010,0.8594147929442048
noscale,200g,500b,R17,astral_3_v5.7.7,11228556,0.8500685895980014
noscale,200g,500b,R18,astral_3_v5.7.7,11192733,0.8473565750624574
noscale,200g,500b,R19,astral_3_v5.7.7,11270514,0.8532450601862367
noscale,200g,500b,R1,astral_3_v5.7.7,11299596,0.8554467408585056
noscale,200g,500b,R20,astral_3_v5.7.7,11302453,0.8556630327806798
noscale,200g,500b,R2,astral_3_v5.7.7,11349413,0.8592181845711258
noscale,200g,500b,R3,astral_3_v5.7.7,11246517,0.8514283443106972
noscale,200g,500b,R4,astral_3_v5.7.7,11160873,0.8449445832387009
noscale,200g,500b,R5,astral_3_v5.7.7,11325718,0.8574243318949202
noscale,200g,500b,R6,astral_3_v5.7.7,11311266,0.8563302293890529
noscale,200g,500b,R7,astral_3_v5.7.7,11339202,0.8584451510333864
noscale,200g,500b,R8,astral_3_v5.7.7,11204375,0.8482379438261791
noscale,200g,500b,R9,astral_3_v5.7.7,11243617,0.8512087970323264
noscale,200g,true,R10,astral_3_v5.7.7,11773211,0.8913022181845711
noscale,200g,true,R11,astral_3_v5.7.7,11775632,0.8914855023090317
noscale,200g,true,R12,astral_3_v5.7.7,11704167,0.8860751760163524
noscale,200g,true,R13,astral_3_v5.7.7,11667740,0.883317435082141
noscale,200g,true,R14,astral_3_v5.7.7,11723760,0.8875584828526005
noscale,200g,true,R15,astral_3_v5.7.7,11765256,0.8906999772882126
noscale,200g,true,R16,astral_3_v5.7.7,11806431,0.8938171701112878
noscale,200g,true,R17,astral_3_v5.7.7,11762398,0.8904836096600802
noscale,200g,true,R18,astral_3_v5.7.7,11655024,0.882354758119464
noscale,200g,true,R19,astral_3_v5.7.7,11753326,0.88979680520857
noscale,200g,true,R1,astral_3_v5.7.7,11729419,0.8879869028692559
noscale,200g,true,R20,astral_3_v5.7.7,11784414,0.892150352032705
noscale,200g,true,R2,astral_3_v5.7.7,11826709,0.8953523355288061
noscale,200g,true,R3,astral_3_v5.7.7,11676547,0.8839841774547657
noscale,200g,true,R4,astral_3_v5.7.7,11676683,0.8839944734650617
noscale,200g,true,R5,astral_3_v5.7.7,11786664,0.8923206904383375
noscale,200g,true,R6,astral_3_v5.7.7,11821260,0.8949398137633432
noscale,200g,true,R7,astral_3_v5.7.7,11781517,0.8919310318722083
noscale,200g,true,R8,astral_3_v5.7.7,11717201,0.8870619274736922
noscale,200g,true,R9,astral_3_v5.7.7,11736711,0.8885389507154213
noscale,25g,500b,R10,astral_3_v5.7.7,1419267,0.859575743811038
noscale,25g,500b,R11,astral_3_v5.7.7,1431611,0.8670518585812703
noscale,25g,500b,R12,astral_3_v5.7.7,1414271,0.8565499280793398
noscale,25g,500b,R13,astral_3_v5.7.7,1406378,0.8517695510636687
noscale,25g,500b,R14,astral_3_v5.7.7,1436056,0.8697439624498448
noscale,25g,500b,R15,astral_3_v5.7.7,1432264,0.8674473465061701
noscale,25g,500b,R16,astral_3_v5.7.7,1373752,0.8320096903626315
noscale,25g,500b,R17,astral_3_v5.7.7,1432789,0.8677653115300175
noscale,25g,500b,R18,astral_3_v5.7.7,1374851,0.8326752971458854
noscale,25g,500b,R19,astral_3_v5.7.7,1398011,0.8467020970550382
noscale,25g,500b,R1,astral_3_v5.7.7,1423680,0.8622484669543493
noscale,25g,500b,R20,astral_3_v5.7.7,1383204,0.8377342720872133
noscale,25g,500b,R2,astral_3_v5.7.7,1422896,0.8617736391854038
noscale,25g,500b,R3,astral_3_v5.7.7,1429612,0.8658411688999924
noscale,25g,500b,R4,astral_3_v5.7.7,1392316,0.8432529336058748
noscale,25g,500b,R5,astral_3_v5.7.7,1411062,0.8546064047240518
noscale,25g,500b,R6,astral_3_v5.7.7,1442833,0.8738484366719661
noscale,25g,500b,R7,astral_3_v5.7.7,1412253,0.855327731092437
noscale,25g,500b,R8,astral_3_v5.7.7,1440131,0.8722119766825649
noscale,25g,500b,R9,astral_3_v5.7.7,1413948,0.8563543038837157
noscale,400g,500b,R10,astral_3_v5.7.7,22604999,0.8556665531077295
noscale,400g,500b,R11,astral_3_v5.7.7,22726265,0.8602568324627148
noscale,400g,500b,R12,astral_3_v5.7.7,22467617,0.8504662351427057
noscale,400g,500b,R13,astral_3_v5.7.7,22515307,0.8522714437126202
noscale,400g,500b,R14,astral_3_v5.7.7,22513418,0.8521999394352335
noscale,400g,500b,R15,astral_3_v5.7.7,22482028,0.8510117344234991
noscale,400g,500b,R16,astral_3_v5.7.7,22488081,0.8512408585055644
noscale,400g,500b,R17,astral_3_v5.7.7,22541964,0.8532804905746082
noscale,400g,500b,R18,astral_3_v5.7.7,22478271,0.8508695207812855
noscale,400g,500b,R19,astral_3_v5.7.7,22543440,0.8533363615716557
noscale,400g,500b,R1,astral_3_v5.7.7,22580510,0.8547395715042774
noscale,400g,500b,R20,astral_3_v5.7.7,22556891,0.8538455219925808
noscale,400g,500b,R2,astral_3_v5.7.7,22557463,0.8538671738965856
noscale,400g,500b,R3,astral_3_v5.7.7,22458442,0.8501189340601105
noscale,400g,500b,R4,astral_3_v5.7.7,22420106,0.8486678022560376
noscale,400g,500b,R5,astral_3_v5.7.7,22616773,0.8561122340828223
noscale,400g,500b,R6,astral_3_v5.7.7,22660287,0.8577593686123098
noscale,400g,500b,R7,astral_3_v5.7.7,22566548,0.8542110682110682
noscale,400g,500b,R8,astral_3_v5.7.7,22397108,0.8477972594443183
noscale,400g,500b,R9,astral_3_v5.7.7,22512973,0.8521830948595654
noscale,50g,500b,R10,astral_3_v5.7.7,2842931,0.8609072602013779
noscale,50g,500b,R11,astral_3_v5.7.7,2848620,0.8626300249829661
noscale,50g,500b,R12,astral_3_v5.7.7,2816238,0.8528239836475131
noscale,50g,500b,R13,astral_3_v5.7.7,2798796,0.8475421303656597
noscale,50g,500b,R14,astral_3_v5.7.7,2837036,0.859122113710349
noscale,50g,500b,R15,astral_3_v5.7.7,2791255,0.8452585358467711
noscale,50g,500b,R16,astral_3_v5.7.7,2808115,0.8503641456582633
noscale,50g,500b,R17,astral_3_v5.7.7,2865048,0.8676048148989326
noscale,50g,500b,R18,astral_3_v5.7.7,2782236,0.8425273677038383
noscale,50g,500b,R19,astral_3_v5.7.7,2835387,0.8586227572109925
noscale,50g,500b,R1,astral_3_v5.7.7,2822180,0.8546233628586569
noscale,50g,500b,R20,astral_3_v5.7.7,2780904,0.8421240063593005
noscale,50g,500b,R2,astral_3_v5.7.7,2867178,0.8682498296615944
noscale,50g,500b,R3,astral_3_v5.7.7,2850836,0.8633010825952002
noscale,50g,500b,R4,astral_3_v5.7.7,2779331,0.8416476644711939
noscale,50g,500b,R5,astral_3_v5.7.7,2806917,0.850001362707245
noscale,50g,500b,R6,astral_3_v5.7.7,2810697,0.8511460367930956
noscale,50g,500b,R7,astral_3_v5.7.7,2823549,0.8550379286849875
noscale,50g,500b,R8,astral_3_v5.7.7,2826986,0.8560787341963813
noscale,50g,500b,R9,astral_3_v5.7.7,2828237,0.856457566810508
noscale,800g,500b,R10,astral_3_v5.7.7,45098486,0.8535560224089636
noscale,800g,500b,R11,astral_3_v5.7.7,45250347,0.8564302180331592
