SCAL,NGEN,NBPS,REPL,MTHD,NODE,real,user,sys
noscale,100g,500b,R10,astral_3_v5.7.7,heron01,0m1.778s,0m7.332s,0m0.425s
noscale,100g,500b,R11,astral_3_v5.7.7,heron09,0m1.896s,0m8.337s,0m0.406s
noscale,100g,500b,R12,astral_3_v5.7.7,heron10,0m1.960s,0m7.689s,0m0.386s
noscale,100g,500b,R13,astral_3_v5.7.7,heron04,0m1.870s,0m7.353s,0m0.400s
noscale,100g,500b,R14,astral_3_v5.7.7,heron03,0m1.784s,0m6.553s,0m0.346s
noscale,100g,500b,R15,astral_3_v5.7.7,heron08,0m1.838s,0m7.133s,0m0.342s
noscale,100g,500b,R16,astral_3_v5.7.7,heron02,0m1.921s,0m7.040s,0m0.311s
noscale,100g,500b,R17,astral_3_v5.7.7,heron11,0m1.890s,0m7.337s,0m0.376s
noscale,100g,500b,R18,astral_3_v5.7.7,heron05,0m1.905s,0m7.445s,0m0.349s
noscale,100g,500b,R19,astral_3_v5.7.7,heron06,0m1.900s,0m7.361s,0m0.442s
noscale,100g,500b,R1,astral_3_v5.7.7,heron04,0m1.827s,0m7.117s,0m0.376s
noscale,100g,500b,R20,astral_3_v5.7.7,heron07,0m1.968s,0m7.469s,0m0.312s
noscale,100g,500b,R2,astral_3_v5.7.7,heron03,0m1.700s,0m6.635s,0m0.384s
noscale,100g,500b,R3,astral_3_v5.7.7,heron00,0m3.674s,0m14.497s,0m0.646s
noscale,100g,500b,R4,astral_3_v5.7.7,heron08,0m2.026s,0m7.799s,0m0.418s
noscale,100g,500b,R5,astral_3_v5.7.7,heron02,0m1.917s,0m7.486s,0m0.359s
noscale,100g,500b,R6,astral_3_v5.7.7,heron11,0m1.852s,0m7.539s,0m0.356s
noscale,100g,500b,R7,astral_3_v5.7.7,heron05,0m1.806s,0m6.829s,0m0.409s
noscale,100g,500b,R8,astral_3_v5.7.7,heron06,0m1.924s,0m7.231s,0m0.397s
noscale,100g,500b,R9,astral_3_v5.7.7,heron07,0m1.795s,0m6.880s,0m0.390s
noscale,200g,1000b,R10,astral_3_v5.7.7,heron10,0m2.154s,0m8.767s,0m0.499s
noscale,200g,1000b,R11,astral_3_v5.7.7,heron04,0m2.207s,0m8.490s,0m0.530s
noscale,200g,1000b,R12,astral_3_v5.7.7,heron03,0m2.316s,0m9.659s,0m0.548s
noscale,200g,1000b,R13,astral_3_v5.7.7,heron05,0m2.290s,0m9.388s,0m0.431s
noscale,200g,1000b,R14,astral_3_v5.7.7,heron08,0m2.137s,0m8.917s,0m0.471s
noscale,200g,1000b,R15,astral_3_v5.7.7,heron11,0m2.229s,0m9.540s,0m0.537s
noscale,200g,1000b,R16,astral_3_v5.7.7,heron02,0m2.098s,0m8.550s,0m0.423s
noscale,200g,1000b,R17,astral_3_v5.7.7,heron06,0m2.289s,0m9.312s,0m0.510s
noscale,200g,1000b,R18,astral_3_v5.7.7,heron01,0m2.210s,0m9.061s,0m0.550s
noscale,200g,1000b,R19,astral_3_v5.7.7,heron07,0m2.317s,0m9.055s,0m0.439s
