NTAX,STRHT,SRATE,REPL,GTRE,NGEN,MTHD,QS,NQS
1000,2000000,0.000001,01,estimatedgenetre,1000,astral_3_v5.7.7,22732925976002,0.5466841373156367
1000,2000000,0.000001,01,estimatedgenetre,250,astral_3_v5.7.7,5686338519316,0.5469830098154159
1000,2000000,0.000001,01,truegenetrees,1000,astral_3_v5.7.7,23958482057945,0.5761564573094433
1000,2000000,0.000001,01,truegenetrees,250,astral_3_v5.7.7,6001187198291,0.5772690853211254
1000,2000000,0.000001,02,estimatedgenetre,1000,astral_3_v5.7.7,20376426053432,0.49001480183589274
1000,2000000,0.000001,02,estimatedgenetre,250,astral_3_v5.7.7,5097164826419,0.4903089991176176
1000,2000000,0.000001,02,truegenetrees,1000,astral_3_v5.7.7,24565236183135,0.5907477534684348
1000,2000000,0.000001,02,truegenetrees,250,astral_3_v5.7.7,6148138276062,0.5914046740719606
1000,2000000,0.000001,03,estimatedgenetre,1000,astral_3_v5.7.7,24786785490202,0.5960755983302518
1000,2000000,0.000001,03,estimatedgenetre,250,astral_3_v5.7.7,6162228090130,0.5927600085279803
1000,2000000,0.000001,03,truegenetrees,1000,astral_3_v5.7.7,26050685782395,0.6264700240426493
1000,2000000,0.000001,03,truegenetrees,250,astral_3_v5.7.7,6445413843753,0.6200003484575508
1000,2000000,0.000001,04,estimatedgenetre,1000,astral_3_v5.7.7,19790044402310,0.47591817973115935
1000,2000000,0.000001,04,estimatedgenetre,250,astral_3_v5.7.7,4969052592775,0.4779916580956921
1000,2000000,0.000001,04,truegenetrees,1000,astral_3_v5.7.7,23088815905405,0.555242621104064
1000,2000000,0.000001,04,truegenetrees,250,astral_3_v5.7.7,5809567567933,0.5588367176759642
1000,2000000,0.000001,05,estimatedgenetre,1000,astral_3_v5.7.7,23654237967277,0.568839959544345
1000,2000000,0.000001,05,estimatedgenetre,250,astral_3_v5.7.7,5933940119922,0.5708004222893484
1000,2000000,0.000001,05,truegenetrees,1000,astral_3_v5.7.7,25348654766780,0.609587497766576
1000,2000000,0.000001,05,truegenetrees,250,astral_3_v5.7.7,6313789520466,0.6073390782456274
1000,2000000,0.000001,06,estimatedgenetre,250,astral_3_v5.7.7,4037196413768,0.41379417086418313
1000,2000000,0.000001,06,truegenetrees,1000,astral_3_v5.7.7,23043688003722,0.5541573798981895
1000,2000000,0.000001,06,truegenetrees,250,astral_3_v5.7.7,5772819477706,0.5553018277064129
1000,2000000,0.000001,07,estimatedgenetre,1000,astral_3_v5.7.7,22218680184663,0.5343174929995164
1000,2000000,0.000001,07,estimatedgenetre,250,astral_3_v5.7.7,5576614459035,0.5364283805952273
1000,2000000,0.000001,07,truegenetrees,1000,astral_3_v5.7.7,24282517650216,0.5839489041945796
1000,2000000,0.000001,07,truegenetrees,250,astral_3_v5.7.7,6081329270097,0.5849781500375809
1000,2000000,0.000001,08,estimatedgenetre,250,astral_3_v5.7.7,3762665805207,0.4034435875728009
1000,2000000,0.000001,08,truegenetrees,1000,astral_3_v5.7.7,24723977198252,0.5945651764870683
1000,2000000,0.000001,08,truegenetrees,250,astral_3_v5.7.7,6170725838283,0.5935774277208826
1000,2000000,0.000001,09,estimatedgenetre,1000,astral_3_v5.7.7,22161694369084,0.5331872318687786
1000,2000000,0.000001,09,estimatedgenetre,250,astral_3_v5.7.7,5515706139947,0.5308845897971469
1000,2000000,0.000001,09,truegenetrees,1000,astral_3_v5.7.7,24179864891157,0.5814802983017091
1000,2000000,0.000001,09,truegenetrees,250,astral_3_v5.7.7,6017604088671,0.5788482667364592
1000,2000000,0.000001,10,estimatedgenetre,1000,astral_3_v5.7.7,24753630459827,0.5952782819583942
1000,2000000,0.000001,10,estimatedgenetre,250,astral_3_v5.7.7,6211657159823,0.5975147133183153
