NTAX,STRHT,SRATE,REPL,GTRE,NGEN,MTHD,NODE,real,user,sys
1000,2000000,0.000001,01,estimatedgenetre,1000,astral_3_v5.7.7,heron11,160m50.994s,166m50.481s,1m7.981s
1000,2000000,0.000001,01,estimatedgenetre,250,astral_3_v5.7.7,heron11,18m49.282s,20m12.474s,0m22.559s
1000,2000000,0.000001,01,truegenetrees,1000,astral_3_v5.7.7,heron11,70m49.297s,75m30.194s,0m49.770s
1000,2000000,0.000001,01,truegenetrees,250,astral_3_v5.7.7,heron11,9m30.571s,10m22.820s,0m17.275s
1000,2000000,0.000001,02,estimatedgenetre,1000,astral_3_v5.7.7,heron06,579m24.979s,587m54.598s,1m56.122s
1000,2000000,0.000001,02,estimatedgenetre,250,astral_3_v5.7.7,heron07,76m59.773s,78m37.096s,0m31.107s
1000,2000000,0.000001,02,truegenetrees,1000,astral_3_v5.7.7,heron06,82m20.244s,87m9.319s,0m47.999s
1000,2000000,0.000001,02,truegenetrees,250,astral_3_v5.7.7,heron07,9m51.194s,11m6.170s,0m19.948s
1000,2000000,0.000001,03,estimatedgenetre,1000,astral_3_v5.7.7,heron05,133m31.470s,139m21.987s,1m0.171s
1000,2000000,0.000001,03,estimatedgenetre,250,astral_3_v5.7.7,heron01,15m58.480s,17m19.437s,0m15.481s
1000,2000000,0.000001,03,truegenetrees,1000,astral_3_v5.7.7,heron05,83m55.090s,88m28.756s,0m51.407s
1000,2000000,0.000001,03,truegenetrees,250,astral_3_v5.7.7,heron01,10m5.282s,11m4.572s,0m14.023s
1000,2000000,0.000001,04,estimatedgenetre,1000,astral_3_v5.7.7,heron02,475m0.900s,481m41.977s,1m45.423s
1000,2000000,0.000001,04,estimatedgenetre,250,astral_3_v5.7.7,heron03,55m45.032s,57m4.029s,0m28.318s
1000,2000000,0.000001,04,truegenetrees,1000,astral_3_v5.7.7,heron02,80m2.653s,84m45.186s,1m4.559s
1000,2000000,0.000001,04,truegenetrees,250,astral_3_v5.7.7,heron03,10m31.437s,11m34.062s,0m15.766s
1000,2000000,0.000001,05,estimatedgenetre,1000,astral_3_v5.7.7,heron09,159m13.865s,164m9.327s,1m2.099s
1000,2000000,0.000001,05,estimatedgenetre,250,astral_3_v5.7.7,heron10,18m15.832s,19m31.402s,0m21.006s
1000,2000000,0.000001,05,truegenetrees,1000,astral_3_v5.7.7,heron09,80m30.407s,85m2.284s,0m54.856s
1000,2000000,0.000001,05,truegenetrees,250,astral_3_v5.7.7,heron10,9m55.228s,10m49.601s,0m13.512s
1000,2000000,0.000001,06,estimatedgenetre,250,astral_3_v5.7.7,heron00,263m1.576s,267m42.206s,1m0.109s
1000,2000000,0.000001,06,truegenetrees,1000,astral_3_v5.7.7,heron04,73m52.649s,78m49.663s,0m51.048s
1000,2000000,0.000001,06,truegenetrees,250,astral_3_v5.7.7,heron00,15m15.145s,17m35.028s,0m28.219s
1000,2000000,0.000001,07,estimatedgenetre,1000,astral_3_v5.7.7,heron10,191m13.184s,196m46.047s,1m4.751s
1000,2000000,0.000001,07,estimatedgenetre,250,astral_3_v5.7.7,heron06,21m30.228s,22m48.333s,0m22.314s
1000,2000000,0.000001,07,truegenetrees,1000,astral_3_v5.7.7,heron10,73m12.555s,78m41.642s,0m51.981s
1000,2000000,0.000001,07,truegenetrees,250,astral_3_v5.7.7,heron06,9m15.354s,10m30.088s,0m19.097s
1000,2000000,0.000001,08,estimatedgenetre,250,astral_3_v5.7.7,heron08,192m11.648s,194m17.217s,1m2.991s
1000,2000000,0.000001,08,truegenetrees,1000,astral_3_v5.7.7,heron01,92m14.171s,97m11.744s,0m54.194s
1000,2000000,0.000001,08,truegenetrees,250,astral_3_v5.7.7,heron08,11m9.702s,12m28.488s,0m18.950s
1000,2000000,0.000001,09,estimatedgenetre,1000,astral_3_v5.7.7,heron03,213m58.585s,221m8.583s,1m10.134s
1000,2000000,0.000001,09,estimatedgenetre,250,astral_3_v5.7.7,heron02,24m44.182s,25m57.596s,0m22.374s
1000,2000000,0.000001,09,truegenetrees,1000,astral_3_v5.7.7,heron03,74m40.664s,80m11.522s,0m51.331s
1000,2000000,0.000001,09,truegenetrees,250,astral_3_v5.7.7,heron02,9m7.023s,10m3.312s,0m13.393s
1000,2000000,0.000001,10,estimatedgenetre,1000,astral_3_v5.7.7,heron07,147m49.915s,153m46.592s,0m56.390s
1000,2000000,0.000001,10,estimatedgenetre,250,astral_3_v5.7.7,heron11,15m42.828s,16m55.315s,0m21.795s
1000,2000000,0.000001,10,truegenetrees,1000,astral_3_v5.7.7,heron07,85m45.045s,89m59.805s,0m52.548s
1000,2000000,0.000001,10,truegenetrees,250,astral_3_v5.7.7,heron11,10m20.790s,11m31.543s,0m18.926s
1000,2000000,0.000001,11,estimatedgenetre,1000,astral_3_v5.7.7,heron08,480m59.267s,488m17.776s,1m37.115s
1000,2000000,0.000001,11,estimatedgenetre,250,astral_3_v5.7.7,heron09,50m40.283s,52m2.558s,0m25.439s
1000,2000000,0.000001,11,truegenetrees,1000,astral_3_v5.7.7,heron08,96m10.568s,101m3.557s,0m57.502s
1000,2000000,0.000001,11,truegenetrees,250,astral_3_v5.7.7,heron09,11m41.771s,12m41.356s,0m16.587s
1000,2000000,0.000001,12,estimatedgenetre,1000,astral_3_v5.7.7,heron00,373m21.952s,380m42.315s,2m12.174s
1000,2000000,0.000001,12,estimatedgenetre,250,astral_3_v5.7.7,heron01,21m56.246s,23m5.973s,0m18.248s
1000,2000000,0.000001,12,truegenetrees,1000,astral_3_v5.7.7,heron00,190m11.180s,197m52.857s,1m47.619s
1000,2000000,0.000001,12,truegenetrees,250,astral_3_v5.7.7,heron01,11m35.850s,12m50.237s,0m19.216s
1000,2000000,0.000001,13,estimatedgenetre,1000,astral_3_v5.7.7,heron05,475m21.796s,482m20.633s,1m42.597s
1000,2000000,0.000001,13,estimatedgenetre,250,astral_3_v5.7.7,heron10,39m15.087s,40m36.149s,0m30.636s
1000,2000000,0.000001,13,truegenetrees,1000,astral_3_v5.7.7,heron05,87m17.173s,92m57.982s,0m56.258s
1000,2000000,0.000001,13,truegenetrees,250,astral_3_v5.7.7,heron10,10m29.025s,11m26.772s,0m14.816s
1000,2000000,0.000001,14,estimatedgenetre,1000,astral_3_v5.7.7,heron11,208m10.179s,214m24.322s,1m13.316s
1000,2000000,0.000001,14,estimatedgenetre,250,astral_3_v5.7.7,heron06,21m21.388s,22m39.946s,0m21.648s
1000,2000000,0.000001,14,truegenetrees,1000,astral_3_v5.7.7,heron11,96m14.826s,100m58.925s,1m15.677s
1000,2000000,0.000001,14,truegenetrees,250,astral_3_v5.7.7,heron06,10m48.091s,11m49.559s,0m15.134s
1000,2000000,0.000001,15,estimatedgenetre,1000,astral_3_v5.7.7,heron09,260m13.319s,266m36.318s,1m13.948s
1000,2000000,0.000001,15,estimatedgenetre,250,astral_3_v5.7.7,heron03,25m21.601s,26m37.617s,0m18.065s
1000,2000000,0.000001,15,truegenetrees,1000,astral_3_v5.7.7,heron09,85m1.861s,89m39.860s,0m56.988s
1000,2000000,0.000001,15,truegenetrees,250,astral_3_v5.7.7,heron03,10m35.234s,11m25.212s,0m13.209s
1000,2000000,0.000001,16,estimatedgenetre,1000,astral_3_v5.7.7,heron07,642m48.149s,651m10.688s,2m1.693s
1000,2000000,0.000001,16,estimatedgenetre,250,astral_3_v5.7.7,heron02,56m20.641s,58m0.414s,0m28.579s
1000,2000000,0.000001,16,truegenetrees,1000,astral_3_v5.7.7,heron07,92m56.334s,97m34.032s,1m6.530s
1000,2000000,0.000001,16,truegenetrees,250,astral_3_v5.7.7,heron02,10m57.845s,11m57.465s,0m14.384s
1000,2000000,0.000001,17,estimatedgenetre,1000,astral_3_v5.7.7,heron10,277m14.968s,283m30.732s,1m15.857s
1000,2000000,0.000001,17,estimatedgenetre,250,astral_3_v5.7.7,heron11,31m47.583s,32m58.351s,0m14.969s
1000,2000000,0.000001,17,truegenetrees,1000,astral_3_v5.7.7,heron10,82m58.180s,88m2.199s,0m52.547s
1000,2000000,0.000001,17,truegenetrees,250,astral_3_v5.7.7,heron11,10m33.043s,11m50.711s,0m16.220s
1000,2000000,0.000001,18,estimatedgenetre,1000,astral_3_v5.7.7,heron03,166m0.468s,172m6.024s,1m4.094s
1000,2000000,0.000001,18,estimatedgenetre,250,astral_3_v5.7.7,heron07,19m37.166s,20m37.332s,0m15.279s
