NTAX,STRHT,SRATE,REPL,GTRE,NGEN,MTHD,NODE,SEFN,SERF,NQSC,SECS,FRAC
500,2000000,1e-06,1,estimatedgenetre,250,treeqmc_n0_v1.0.0,heron08,28,0.056225,0.6418753515718123,216.29500000000002,0.0
500,2000000,1e-06,1,estimatedgenetre,250,treeqmc_n1_v1.0.0,heron08,22,0.044177,0.6418959738253052,228.138,0.0
500,2000000,1e-06,1,estimatedgenetre,250,treeqmc_n2_v1.0.0,heron08,20,0.040161,0.6418758023603146,227.618,0.0
500,2000000,1e-06,1,estimatedgenetre,250,astral_3_v5.7.7,heron08,27,0.054216999999999994,0.6418907992550126,388.091,0.0
500,2000000,1e-06,1,estimatedgenetre,250,fastral,heron08,22,0.044177,0.6418959738253052,175.871,0.0
500,2000000,1e-06,1,estimatedgenetre,250,TRUE,heron08,0,0,0.6417989478949583,0,0.0
500,2000000,1e-06,1,truegenetrees,250,treeqmc_n0_v1.0.0,heron08,14,0.028112,0.7019729308920127,212.953,0.0
500,2000000,1e-06,1,truegenetrees,250,treeqmc_n1_v1.0.0,heron08,11,0.022088,0.7019948932059825,224.596,0.0
500,2000000,1e-06,1,truegenetrees,250,treeqmc_n2_v1.0.0,heron08,11,0.022088,0.7019948932059825,223.348,0.0
500,2000000,1e-06,1,truegenetrees,250,astral_3_v5.7.7,heron08,11,0.022088,0.7019948932059825,182.574,0.0
500,2000000,1e-06,1,truegenetrees,250,fastral,heron08,11,0.022088,0.7019948932059825,128.292,0.0
500,2000000,1e-06,1,truegenetrees,250,TRUE,heron08,0,0,0.7018879204361155,0,0.0
500,2000000,1e-06,1,estimatedgenetre,1000,treeqmc_n0_v1.0.0,heron10,30,0.060240999999999996,0.6398271019879914,847.193,0.0
500,2000000,1e-06,1,estimatedgenetre,1000,treeqmc_n1_v1.0.0,heron10,18,0.036145,0.6410083083336133,901.33,0.0
500,2000000,1e-06,1,estimatedgenetre,1000,treeqmc_n2_v1.0.0,heron10,16,0.032129000000000005,0.6409714080641455,896.224,0.0
500,2000000,1e-06,1,estimatedgenetre,1000,astral_3_v5.7.7,heron10,23,0.046185000000000004,0.6409635331256502,4234.889,0.0
500,2000000,1e-06,1,estimatedgenetre,1000,fastral,heron10,19,0.038153,0.6410083374109345,326.83,0.0
500,2000000,1e-06,1,estimatedgenetre,1000,TRUE,heron10,0,0,0.6409606585722698,0,0.0
500,2000000,1e-06,1,truegenetrees,1000,treeqmc_n0_v1.0.0,heron10,7,0.014056,0.7005404535256695,840.559,0.0
500,2000000,1e-06,1,truegenetrees,1000,treeqmc_n1_v1.0.0,heron10,4,0.008032,0.7005597775366523,883.388,0.0
500,2000000,1e-06,1,truegenetrees,1000,treeqmc_n2_v1.0.0,heron10,4,0.008032,0.7005597775366523,880.2139999999999,0.0
500,2000000,1e-06,1,truegenetrees,1000,astral_3_v5.7.7,heron10,4,0.008032,0.7005597775366523,1657.435,0.0
500,2000000,1e-06,1,truegenetrees,1000,fastral,heron10,4,0.008032,0.7005597775366523,293.299,0.0
500,2000000,1e-06,1,truegenetrees,1000,TRUE,heron10,0,0,0.7005466481752192,0,0.0
500,2000000,1e-06,2,estimatedgenetre,250,treeqmc_n0_v1.0.0,heron05,11,0.022088,0.7056503454714012,211.549,0.0
500,2000000,1e-06,2,estimatedgenetre,250,treeqmc_n1_v1.0.0,heron05,11,0.022088,0.7056503454714012,225.246,0.0
500,2000000,1e-06,2,estimatedgenetre,250,treeqmc_n2_v1.0.0,heron05,11,0.022088,0.7056503487087724,224.766,0.0
500,2000000,1e-06,2,estimatedgenetre,250,astral_3_v5.7.7,heron05,11,0.022088,0.7056503487087724,292.903,0.0
500,2000000,1e-06,2,estimatedgenetre,250,fastral,heron05,11,0.022088,0.7056503487087724,146.726,0.0
500,2000000,1e-06,2,estimatedgenetre,250,TRUE,heron05,0,0,0.7056027609268825,0,0.0
500,2000000,1e-06,2,truegenetrees,250,treeqmc_n0_v1.0.0,heron05,5,0.01004,0.7374624881940491,206.392,0.0
500,2000000,1e-06,2,truegenetrees,250,treeqmc_n1_v1.0.0,heron05,6,0.012048,0.7374630610595695,216.085,0.0
500,2000000,1e-06,2,truegenetrees,250,treeqmc_n2_v1.0.0,heron05,8,0.016064,0.7374500667035921,215.187,0.0
500,2000000,1e-06,2,truegenetrees,250,astral_3_v5.7.7,heron05,6,0.012048,0.7374630610595695,165.09199999999998,0.0
500,2000000,1e-06,2,truegenetrees,250,fastral,heron05,6,0.012048,0.7374630610595695,129.775,0.0
500,2000000,1e-06,2,truegenetrees,250,TRUE,heron05,0,0,0.7374617019208318,0,0.0
500,2000000,1e-06,2,estimatedgenetre,1000,treeqmc_n0_v1.0.0,heron03,6,0.012048,0.702170167649928,819.871,0.0
500,2000000,1e-06,2,estimatedgenetre,1000,treeqmc_n1_v1.0.0,heron03,5,0.01004,0.7021708502509195,871.685,0.0
500,2000000,1e-06,2,estimatedgenetre,1000,treeqmc_n2_v1.0.0,heron03,4,0.008032,0.7021708543714015,862.227,0.0
500,2000000,1e-06,2,estimatedgenetre,1000,astral_3_v5.7.7,heron03,4,0.008032,0.7021708553663001,3381.033,0.0
500,2000000,1e-06,2,estimatedgenetre,1000,fastral,heron03,4,0.008032,0.7021708553663001,296.873,0.0
500,2000000,1e-06,2,estimatedgenetre,1000,TRUE,heron03,0,0,0.7021698507390468,0,0.0
500,2000000,1e-06,2,truegenetrees,1000,treeqmc_n0_v1.0.0,heron03,3,0.006024,0.7402554389957319,811.147,0.0
500,2000000,1e-06,2,truegenetrees,1000,treeqmc_n1_v1.0.0,heron03,3,0.006024,0.7402554389957319,853.232,0.0
500,2000000,1e-06,2,truegenetrees,1000,treeqmc_n2_v1.0.0,heron03,3,0.006024,0.7402554166488473,848.486,0.0
500,2000000,1e-06,2,truegenetrees,1000,astral_3_v5.7.7,heron03,3,0.006024,0.7402554389957319,1469.631,0.0
500,2000000,1e-06,2,truegenetrees,1000,fastral,heron03,3,0.006024,0.7402554389957319,287.872,0.0
500,2000000,1e-06,2,truegenetrees,1000,TRUE,heron03,0,0,0.7402506177531216,0,0.0
500,2000000,1e-06,3,estimatedgenetre,250,treeqmc_n0_v1.0.0,heron09,51,0.10240999999999999,0.6434295781929151,210.564,0.0
500,2000000,1e-06,3,estimatedgenetre,250,treeqmc_n1_v1.0.0,heron09,42,0.084337,0.6433990457696771,222.626,0.0
